"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"40","경기도 용인시 기흥구 보라동","집합","553","사은로126번길","제3종일반주거","제2종근린생활","25m미만","81.00"," ","21,000","2","개인","개인","202408","31","","","-","중개거래","경기 용인시 기흥구"
"41","부산광역시 해운대구 중동","집합","1124-2","해운대해변로298번길","일반상업","숙박","25m미만","170.11"," ","118,000","","개인","개인","202408","31","","2008","-","중개거래","부산 해운대구"
"42","경기도 시흥시 정왕동","집합","1364","공단1대로","준공업","업무","25m이상","22.22"," ","3,700","2","개인","개인","202408","31","","1997","-","중개거래","경기 시흥시"
"43","경기도 용인시 기흥구 서천동","집합","806","서천로117번길","근린상업","숙박","25m미만","22.90"," ","6,300","5","개인","개인","202408","31","","2016","-","중개거래","경기 수원시 영통구"
"44","경기도 용인시 기흥구 서천동","집합","283","서그내로","제2종일반주거","제2종근린생활","25m미만","20.05"," ","12,000","1","개인","개인","202408","31","","2013","20250114","중개거래","경기 용인시 기흥구"
"45","경기도 시흥시 정왕동","집합","1364","공단1대로","준공업","판매","25m이상","24.00"," ","14,700","1","개인","개인","202408","31","","1997","-","중개거래","경기 시흥시"
"46","경기도 화성시 능동","집합","1081","동탄지성로","일반상업","제1종근린생활","25m이상","31.50"," ","16,800","1","개인","개인","202408","31","","2008","-","중개거래","경기 화성시"
"47","경기도 시흥시 대야동","집합","650","은계중앙로","일반상업","제1종근린생활","25m이상","65.10"," ","22,000","5","개인","개인","202408","31","","2022","-","중개거래","인천 계양구"
"48","경기도 남양주시 별내동","집합","975-3","","준주거","판매","25m이상","36.23"," ","30,940","","개인","개인","202408","31","","2021","-","직거래","-"
"49","경상남도 창원시 성산구 용호동","집합","73-3","용지로169번길","일반상업","기타","12m미만","131.21"," ","60,300","4","개인","개인","202408","31","","2017","-","직거래","-"
"50","부산광역시 부산진구 가야동","일반","3**","엄광로","제3종일반주거","제1종근린생활","25m미만","61.62","38.00","40,000","","개인","개인","202408","31","","2000","-","중개거래","부산 부산진구"
"51","경기도 부천시 원미구 심곡동","집합","132-1","부흥로","일반상업","제1종근린생활","25m미만","18.96"," ","18,000","1","개인","법인","202408","31","","2022","-","중개거래","인천 중구"
"52","강원특별자치도 홍천군 서면 개야리","일반","3**","개야로","계획관리","제2종근린생활","8m미만","18.00","119.00","5,200","","개인","개인","202408","31","","2022","20241002","중개거래","강원 홍천군"
"53","경상남도 창원시 성산구 용호동","집합","73-3","용지로169번길","일반상업","제2종근린생활","12m미만","53.73"," ","24,700","4","개인","개인","202408","31","","2017","-","직거래","-"
"54","서울특별시 동작구 노량진동","집합","57-1","노량진로","일반상업","제1종근린생활","25m이상","47.68"," ","77,000","1","개인","개인","202408","31","","2015","-","중개거래","서울 동작구"
"55","경기도 부천시 원미구 심곡동","집합","132-1","부흥로","일반상업","제1종근린생활","25m미만","27.95"," ","26,000","1","개인","법인","202408","31","","2022","-","중개거래","인천 중구"
"56","제주특별자치도 서귀포시 대정읍 상모리","일반","3***","상모대서로","제2종일반주거","제2종근린생활","8m미만","166.83","356.00","33,000","","개인","개인","202408","31","","1994","-","중개거래","제주 제주시"
"57","서울특별시 동작구 흑석동","일반","1**","흑석로","제2종일반주거","제2종근린생활","25m미만","243.64","160.00","350,000","","개인","개인","202408","31","","1970","-","중개거래","서울 동작구"
"58","제주특별자치도 제주시 한림읍 협재리","집합","2838","금능남로","자연녹지","숙박","25m이상","135.07"," ","69,000","2","개인","법인","202408","31","","2011","-","중개거래","제주 제주시"
"59","서울특별시 은평구 응암동","집합","93-6","은평로","준주거","제2종근린생활","12m미만","97.20"," ","38,000","","개인","개인","202408","31","","2009","-","중개거래","서울 은평구"
"60","부산광역시 서구 암남동","집합","354-1","충무대로","일반상업","기타","25m미만","24.42"," ","1,800","","개인","개인","202408","31","","1996","-","중개거래","부산 서구"
"61","부산광역시 서구 암남동","집합","354-1","충무대로","일반상업","기타","25m미만","32.00"," ","2,500","","개인","개인","202408","31","","1996","-","중개거래","부산 서구"
"62","부산광역시 기장군 기장읍 시랑리","집합","704","기장해안로","제3종일반주거","숙박","25m미만","93.55"," ","6,800","","개인","개인","202408","31","지분","2017","-","직거래","-"
"63","경기도 수원시 영통구 매탄동","집합","1352","효원로","제3종일반주거","제2종근린생활","25m이상","35.28"," ","25,000","","개인","개인","202408","31","","2008","-","중개거래","경기 수원시 영통구"
"64","서울특별시 동작구 대방동","집합","381-29","대방동23가길","제2종일반주거","제2종근린생활","12m미만","53.97"," ","30,000","1","개인","개인","202408","31","","2016","20240910","중개거래","서울 동작구"
"65","서울특별시 양천구 목동","집합","773-3","목동중앙로","제3종일반주거","제2종근린생활","25m이상","68.41"," ","29,900","1","개인","개인","202408","31","","2003","-","중개거래","서울 양천구"
"66","부산광역시 기장군 철마면 임기리","일반","9**","철마삼동로","개발제한구역","기타","8m미만","1459.74","1426.00","200,000","","개인","기타","202408","31","","2009","-","직거래","-"
"67","경상남도 김해시 상동면 매리","일반","7**","","계획관리","제2종근린생활","12m미만","427.20","487.00","58,413","","개인","개인","202408","31","","2002","-","직거래","-"
"68","서울특별시 서초구 방배동","집합","1038","효령로","제3종일반주거","판매","25m이상","6.00"," ","6,200","","개인","개인","202408","31","","","-","중개거래","서울 서초구"
"69","경상남도 창원시 의창구 북면 감계리","집합","234-2","감계로","준주거","제2종근린생활","25m이상","140.40"," ","45,000","3","법인","개인","202408","31","","2014","-","직거래","-"
"70","인천광역시 중구 신포동","일반","3*","제물량로166번길","일반상업","기타","12m미만","330.69","14.49","5,500","","개인","개인","202408","31","지분","1976","-","직거래","-"
"71","서울특별시 강남구 일원동","집합","734","광평로10길","제2종일반주거","제1종근린생활","25m이상","5.62"," ","37,500","","개인","법인","202408","31","","1993","-","중개거래","서울 강남구"
"72","대전광역시 서구 변동","일반","1*","도산로213번길","제2종일반주거","기타","12m미만","198.18","168.60","54,500","","개인","개인","202408","31","","1985","-","중개거래","대전 유성구"
"73","경기도 부천시 원미구 심곡동","집합","132-1","부흥로","일반상업","제1종근린생활","25m미만","17.76"," ","16,000","1","개인","법인","202408","31","","2022","-","중개거래","인천 중구"
"74","인천광역시 중구 중산동","집합","1955-1","은하수로29번길","일반상업","숙박","25m미만","28.20"," ","5,500","6","법인","개인","202408","31","","2017","-","직거래","-"
"75","경기도 남양주시 오남읍 오남리","집합","683-27","진건오남로","제2종일반주거","제2종근린생활","25m이상","32.76"," ","5,800","","개인","개인","202408","31","","1993","-","중개거래","경기 남양주시"
"76","경기도 파주시 탄현면 법흥리","집합","1789","하늘소로","계획관리","기타","25m이상","84.96"," ","20,500","","개인","개인","202408","31","","2003","-","중개거래","경기 파주시"
"77","경기도 고양시 덕양구 원흥동","집합","632-1","권율대로","일반상업","업무","25m이상","23.04"," ","12,652","10","개인","법인","202408","31","","2022","-","직거래","-"
"78","인천광역시 미추홀구 학익동","집합","401-58","매소홀로","일반공업","제2종근린생활","25m이상","26.22"," ","11,250","","개인","개인","202408","31","","2022","-","중개거래","인천 미추홀구"
"79","광주광역시 서구 치평동","집합","1330","상무누리로","준주거","제1종근린생활","25m이상","83.46"," ","14,000","2","개인","개인","202408","31","","2010","-","중개거래","광주 서구"
"80","충청남도 천안시 서북구 불당동","집합","1469","불당24로","제2종일반주거","제1종근린생활","25m미만","105.35"," ","22,292","2","법인","법인","202408","30","","2017","-","직거래","-"
"81","충청남도 천안시 서북구 불당동","집합","1469","불당24로","제2종일반주거","제1종근린생활","25m미만","104.61"," ","22,132","2","법인","법인","202408","30","","2017","-","직거래","-"
"82","충청남도 천안시 서북구 불당동","집합","1536-2","불당21로","일반상업","제1종근린생활","25m이상","73.20"," ","25,500","4","개인","법인","202408","30","","2019","-","중개거래","충남 천안시 서북구"
"83","경기도 파주시 와동동","집합","1426","와석순환로","중심상업","제1종근린생활","25m이상","112.33"," ","39,000","12","개인","개인","202408","30","","","-","중개거래","경기 파주시"
"84","서울특별시 용산구 한강로2가","집합","15-47","","일반상업","판매","12m미만","15.68"," ","30,000","30","개인","개인","202408","30","","","-","중개거래","서울 서초구, 서울 용산구"
"85","경기도 파주시 와동동","집합","1426","와석순환로","중심상업","제1종근린생활","25m이상","104.00"," ","37,000","12","개인","개인","202408","30","","","-","중개거래","경기 파주시"
"86","대전광역시 서구 둔산동","집합","1380-1","둔산북로","중심상업","업무","25m미만","44.33"," ","7,100","8","개인","개인","202408","30","","2000","-","중개거래","대전 서구"
"87","제주특별자치도 제주시 도남동","집합","923-13","신성로","제2종일반주거","제1종근린생활","25m미만","24.48"," ","340","","법인","개인","202408","30","","1991","20240903","직거래","-"
"88","경기도 수원시 영통구 이의동","집합","1248","대학로","일반상업","기타","25m미만","91.76"," ","29,789","9","개인","법인","202408","30","","2015","-","직거래","-"
"89","경기도 수원시 영통구 이의동","집합","1248","대학로","일반상업","기타","25m미만","94.92"," ","30,817","9","개인","법인","202408","30","","2015","-","직거래","-"
"90","서울특별시 서초구 잠원동","집합","56-3","잠원로8길","제3종일반주거","교육연구","25m이상","94.93"," ","87,000","","개인","개인","202408","30","","1992","-","직거래","-"
"91","경기도 양평군 양서면 복포리","일반","2**","경강로","계획관리","제2종근린생활","25m이상","1419.48","3207.00","550,000","","기타","법인","202408","30","","1996","-","직거래","-"
"92","울산광역시 울주군 웅촌면 대복리","일반","9**","당고개1길","보전관리","제1종근린생활","8m미만","433.68","2110.00","52,000","","개인","개인","202408","30","","2013","-","직거래","-"
"93","인천광역시 미추홀구 학익동","집합","255-13","소성로","제2종일반주거","제1종근린생활","25m이상","115.29"," ","34,850","4","법인","개인","202408","30","","2004","-","직거래","-"
"94","서울특별시 구로구 구로동","집합","3-25","새말로","일반상업","판매","25m이상","10.83"," ","1,000","","개인","법인","202408","30","","2007","-","중개거래","서울 구로구"
"95","경기도 수원시 장안구 송죽동","집합","514","송정로","일반상업","판매","25m이상","64.76"," ","10,000","1","개인","법인","202408","30","","2006","-","중개거래","경기 수원시 장안구"
"96","서울특별시 강동구 길동","집합","146-2","천호대로193길","제3종일반주거","제2종근린생활","8m미만","74.12"," ","33,000","3","개인","개인","202408","30","","2019","-","중개거래","서울 강남구"
"97","경상북도 구미시 도량동","일반","*","봉곡남로","자연녹지","제1종근린생활","25m미만","1253.06","3169.00","542,589","","법인","법인","202408","30","","","-","직거래","-"
"98","제주특별자치도 제주시 도남동","집합","923-13","신성로","제2종일반주거","제1종근린생활","25m미만","11.88"," ","340","","법인","개인","202408","30","","1991","20240903","직거래","-"
"99","제주특별자치도 제주시 도남동","집합","923-13","신성로","제2종일반주거","제1종근린생활","25m미만","23.76"," ","340","","법인","개인","202408","30","","1991","20240903","직거래","-"
"100","경상북도 안동시 옥야동","일반","2**","중앙시장4길","일반상업","제1종근린생활","8m미만","14.58","14.91","3,200","","개인","개인","202408","30","","","-","직거래","-"
"101","서울특별시 종로구 명륜1가","일반","5*","혜화로3가길","제2종일반주거","제2종근린생활","12m미만","132.79","87.30","100,000","","법인","법인","202408","30","","1998","-","중개거래","서울 강남구"
"102","경기도 화성시 석우동","집합","56","동탄반석로","제3종일반주거","제2종근린생활","25m이상","25.20"," ","18,000","2","개인","법인","202408","30","","2008","-","중개거래","경기 화성시"
"103","경상북도 김천시 모암동","일반","1**","모암제방1길","제1종일반주거","제2종근린생활","8m미만","172.80","2284.90","50,000","","개인","개인","202408","30","","1992","-","직거래","-"
"104","경기도 김포시 구래동","집합","6880-2","김포한강4로","일반상업","제2종근린생활","25m이상","206.80"," ","70,000","4","개인","개인","202408","30","","2016","-","중개거래","경기 김포시"
"105","경기도 군포시 산본동","집합","1142-2","번영로","중심상업","판매","25m이상","27.02"," ","64,000","1","개인","개인","202408","30","","2002","-","중개거래","경기 군포시"
"106","제주특별자치도 제주시 도남동","집합","923-13","신성로","제2종일반주거","제1종근린생활","25m미만","29.37"," ","340","","법인","개인","202408","30","","1991","20240903","직거래","-"
"107","경기도 안산시 단원구 성곡동","집합","839-17","엠티브이18로","일반상업","제2종근린생활","25m미만","44.39"," ","82,261","1","개인","법인","202408","30","","2023","-","직거래","-"
"108","인천광역시 중구 중산동","집합","1873-5","자연대로","중심상업","숙박","25m이상","20.56"," ","4,500","6","개인","개인","202408","30","","2019","-","중개거래","인천 중구"
"109","충청북도 청주시 서원구 사직동","집합","265-5","사운로","일반상업","제1종근린생활","25m이상","57.90"," ","17,736","1","개인","법인","202408","30","","2009","-","직거래","-"
"110","전북특별자치도 완주군 봉동읍 둔산리","일반","9**","둔산3로","준공업","제2종근린생활","12m미만","456.23","1395.10","84,400","","법인","법인","202408","30","","2002","-","중개거래","전북 완주군"
"111","전북특별자치도 완주군 봉동읍 둔산리","일반","9**","둔산3로","준공업","제2종근린생활","12m미만","480.20","2094.60","126,720","","법인","법인","202408","30","","2002","20241111","중개거래","전북 완주군"
"112","부산광역시 해운대구 반여동","일반","1***","재반로","준주거","제2종근린생활","25m미만","395.49","165.00","108,000","","개인","개인","202408","30","","1992","-","중개거래","부산 연제구"
"113","강원특별자치도 고성군 토성면 원암리","집합","403-1","미시령옛길","계획관리","숙박","12m미만","51.48"," ","1,900","","개인","개인","202408","30","지분","1991","-","직거래","-"
"114","강원특별자치도 삼척시 남양동","집합","40-1","중앙시장길","일반상업","제1종근린생활","8m미만","45.60"," ","12,000","1","개인","개인","202408","30","","1995","-","직거래","-"
"115","전북특별자치도 군산시 비응도동","집합","61-5","비응남로","일반상업","제1종근린생활","25m미만","10.50"," ","5,000","1","개인","개인","202408","30","","2010","-","직거래","-"
"116","부산광역시 해운대구 중동","집합","154","대천로42번길","제2종일반주거","제2종근린생활","12m미만","100.49"," ","22,500","2","개인","개인","202408","30","","2002","-","직거래","-"
"117","강원특별자치도 고성군 토성면 신평리","집합","775","","계획관리","숙박","12m미만","117.85"," ","4,446","20","법인","법인","202408","30","지분","2019","-","직거래","-"
"118","경상북도 포항시 북구 장성동","집합","976-2","새천년대로","제3종일반주거","제1종근린생활","25m이상","30.00"," ","2,500","4","개인","개인","202408","30","","","-","직거래","-"
"119","경기도 용인시 기흥구 공세동","일반","4**","탑실로","자연녹지","교육연구","25m미만","97568.08","133571.00","23,330,801","","법인","법인","202408","30","","1999","20250826","직거래","-"
"120","경기도 남양주시 진접읍 부평리","일반","1**","부마로199번길","계획관리","제2종근린생활","8m미만","982.80","2465.00","253,500","","법인","법인","202408","30","","","-","중개거래","경기 포천시"
"121","강원특별자치도 인제군 인제읍 하추리","일반","4**","하추로","계획관리","제1종근린생활","12m미만","123.45","578.00","11,263","","개인","개인","202408","30","","2008","-","직거래","-"
"122","강원특별자치도 인제군 인제읍 남북리","집합","833","인제로112번길","제2종일반주거","제2종근린생활","12m미만","37.34"," ","11,000","1","개인","개인","202408","30","","2020","-","직거래","-"
"123","강원특별자치도 인제군 인제읍 남북리","집합","833","인제로112번길","제2종일반주거","제1종근린생활","12m미만","49.58"," ","15,000","1","개인","개인","202408","30","","2020","-","직거래","-"
"124","대전광역시 동구 중동","일반","9*","중앙로194번길","일반상업","제2종근린생활","12m미만","185.25","46.30","19,500","","개인","개인","202408","30","","1979","-","중개거래","대전 동구"
"125","강원특별자치도 양구군 양구읍 상리","일반","2**","중앙길","일반상업","제1종근린생활","12m미만","324.12","139.50","35,000","","개인","개인","202408","30","","1992","20241014","직거래","-"
"126","경상북도 포항시 북구 장성동","집합","976-2","새천년대로","제3종일반주거","제1종근린생활","25m이상","136.50"," ","11,300","4","개인","개인","202408","30","","","-","직거래","-"
"127","서울특별시 강남구 대치동","일반","9**","삼성로75길","제2종일반주거","제2종근린생활","8m미만","602.72","251.40","765,000","","법인","법인","202408","30","","2023","20250217","중개거래","서울 강남구"
"128","전라남도 무안군 몽탄면 내리","일반","8*","남천길","보전관리","기타","8m미만","99.22","371.00","8,000","","개인","개인","202408","30","","1999","-","중개거래","광주 서구"
"129","전라남도 무안군 몽탄면 내리","일반","8*","","보전관리","제2종근린생활","8m미만","82.60","674.00","5,000","","개인","개인","202408","30","","1961","-","중개거래","광주 서구"
"130","전라남도 무안군 몽탄면 내리","일반","8*","","보전관리","제2종근린생활","8m미만","82.60","1445.00","5,000","","개인","개인","202408","30","","1961","-","중개거래","광주 서구"
"131","경기도 오산시 원동","집합","300-8","경기대로","준주거","기타","25m이상","51.92"," ","8,075","3","개인","개인","202408","30","","2005","-","직거래","-"
"132","경기도 고양시 덕양구 화정동","집합","975-3","백양로","중심상업","업무","25m미만","28.49"," ","8,300","8","개인","개인","202408","30","","2003","-","중개거래","경기 고양시 덕양구"
"133","경기도 광명시 광명동","집합","150-19","오리로","일반상업","판매","25m이상","4.44"," ","1,667","10","개인","개인","202408","30","","2004","-","직거래","-"
"134","경기도 광명시 광명동","집합","150-19","오리로","일반상업","판매","25m이상","4.44"," ","1,667","10","개인","개인","202408","30","","2004","-","직거래","-"
"135","경기도 광명시 광명동","집합","150-19","오리로","일반상업","판매","25m이상","5.43"," ","1,667","11","개인","개인","202408","30","","2004","-","직거래","-"
"136","경기도 의정부시 호원동","집합","6-1","회룡로117번길","제2종일반주거","제1종근린생활","8m미만","57.42"," ","13,300","1","개인","개인","202408","30","","","-","직거래","-"
"137","경상남도 창원시 성산구 용호동","집합","73-17","용지로153번길","일반상업","제2종근린생활","25m미만","158.41"," ","5,500","","법인","개인","202408","30","","1987","-","중개거래","경남 창원시 성산구"
"138","서울특별시 성북구 종암동","집합","132","종암로","준주거","판매","25m이상","62.10"," ","33,800","","개인","개인","202408","30","","2008","-","중개거래","서울 성북구"
"139","서울특별시 구로구 구로동","집합","1258","경인로53길","준공업","판매","25m이상","18.87"," ","16,000","21","개인","개인","202408","30","","","-","중개거래","서울 구로구"
"140","경기도 부천시 원미구 심곡동","집합","136-21","원미로37번길","준주거","제1종근린생활","12m미만","32.60"," ","12,500","","개인","개인","202408","30","","2001","-","중개거래","경기 부천시 원미구"
"141","전라남도 보성군 벌교읍 벌교리","일반","7**","채동선로","일반상업","제1종근린생활","12m미만","144.50","108.00","7,900","","개인","개인","202408","30","","","-","중개거래","전남 보성군"
"142","강원특별자치도 속초시 장사동","집합","24-1","미시령로2983번길","계획관리","숙박","25m미만","42.75"," ","1,000","","법인","개인","202408","30","지분","","-","직거래","-"
"143","전북특별자치도 전주시 완산구 중인동","집합","1610","중인1길","자연녹지","기타","12m미만","84.83"," ","22,200","8","개인","개인","202408","30","","2013","-","중개거래","전북 전주시 덕진구, 전북 전주시 완산구"
