"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"118","서울특별시 광진구 자양동","7**","8m미만","19.83","월세","202408","31","1,000","55","1983","자양로19길","202408~202608","신규","-","","","단독다가구"
"119","서울특별시 은평구 응암동","1**","25m미만","26.00","월세","202408","31","2,000","50","2016","백련산로","202412~202612","신규","-","","","단독다가구"
"120","서울특별시 광진구 자양동","8**","8m미만","18.00","월세","202408","31","500","45","1988","동일로16길","202409~202609","신규","-","","","단독다가구"
"121","서울특별시 광진구 자양동","*","8m미만","40.00","월세","202408","31","500","70","1995","아차산로34길","202409~202609","신규","-","","","단독다가구"
"122","서울특별시 광진구 자양동","6**","12m미만","18.00","월세","202408","31","100","25","1978","뚝섬로45길","202409~202502","신규","-","","","단독다가구"
"123","서울특별시 광진구 자양동","1**","8m미만","38.29","전세","202408","31","17,000","0","1991","뚝섬로22가길","202408~202509","갱신","-","15,000","0","단독다가구"
"124","서울특별시 광진구 자양동","2**","8m미만","15.00","월세","202408","31","1,000","50","","자양번영로11길","202408~202502","신규","-","","","단독다가구"
"125","서울특별시 광진구 화양동","4*","8m미만","33.00","월세","202408","31","5,000","90","2010","동일로22길","-","-","-","","","단독다가구"
"126","경기도 고양시 덕양구 행신동","9**","12m미만","54.00","전세","202408","31","13,000","0","1997","행신로303번길","202411~202610","신규","-","","","단독다가구"
"127","서울특별시 성북구 상월곡동","5*","8m미만","15.00","월세","202408","31","1,000","60","2012","화랑로15길","202408~202508","신규","-","","","단독다가구"
"128","서울특별시 용산구 후암동","4*","8m미만","34.92","월세","202408","31","1,000","60","1986","후암로28라길","202408~202608","신규","-","","","단독다가구"
"129","서울특별시 성동구 성수동1가","6**","12m미만","28.10","월세","202408","31","1,000","94","2018","왕십리로14길","202411~202610","신규","-","","","단독다가구"
"130","서울특별시 성동구 성수동1가","6**","8m미만","39.55","월세","202408","31","1,500","72","1993","왕십리로10길","202409~202609","신규","-","","","단독다가구"
"131","서울특별시 은평구 응암동","5**","8m미만","199.92","월세","202408","31","1,000","35","1991","가좌로10길","202408~202608","신규","-","","","단독다가구"
"132","서울특별시 은평구 응암동","1**","8m미만","84.88","월세","202408","31","3,000","110","","은평로4길","202409~202609","신규","-","","","단독다가구"
"133","서울특별시 은평구 응암동","7*","8m미만","36.00","월세","202408","31","2,000","50","1993","은평로","202408~202608","신규","-","","","단독다가구"
"134","서울특별시 도봉구 도봉동","5**","8m미만","63.54","월세","202408","31","1,700","53","1983","도봉로183길","202410~202610","갱신","-","1,700","43","단독다가구"
"135","서울특별시 동대문구 청량리동","6*","8m미만","174.36","월세","202408","31","500","40","1993","제기로37길","202410~202610","신규","-","","","단독다가구"
"136","서울특별시 동대문구 청량리동","1*","8m미만","249.93","월세","202408","31","1,000","60","1991","제기로33길","202409~202609","신규","-","","","단독다가구"
"137","서울특별시 동대문구 청량리동","5*","12m미만","41.00","월세","202408","31","500","40","1987","왕산로43나길","202408~202608","신규","-","","","단독다가구"
"138","경기도 수원시 권선구 곡반정동","5**","12m미만","30.00","월세","202408","31","500","48","2006","동수원로146번길","202309~202409","신규","-","","","단독다가구"
"139","충청남도 천안시 서북구 두정동","1***","25m미만","20.00","월세","202408","31","300","35","2010","두정상가3길","-","-","-","","","단독다가구"
"140","서울특별시 광진구 자양동","6**","12m미만","34.23","월세","202408","31","2,000","50","","뚝섬로","-","-","-","","","단독다가구"
"141","경기도 수원시 권선구 곡반정동","6**","12m미만","48.00","월세","202408","31","300","50","","곡반정로13번길","202409~202509","신규","-","","","단독다가구"
"142","서울특별시 종로구 명륜3가","*","8m미만","14.00","월세","202408","31","500","50","1976","명륜7길","202408~202508","신규","-","","","단독다가구"
"143","서울특별시 성북구 장위동","6*","8m미만","18.00","전세","202408","31","5,000","0","1958","화랑로19가길","202408~202608","신규","-","","","단독다가구"
"144","서울특별시 용산구 동자동","1*","8m미만","25.00","월세","202408","31","500","60","","한강대로104마길","202409~202609","신규","-","","","단독다가구"
"145","경기도 성남시 수정구 수진동","3***","8m미만","131.04","전세","202408","31","14,000","0","1991","수정로88번길","202409~202609","갱신","-","10,000","0","단독다가구"
"146","경기도 성남시 수정구 수진동","1***","8m미만","116.10","월세","202408","31","500","40","1991","탄리로27번길","202409~202609","신규","-","","","단독다가구"
"147","경기도 성남시 수정구 수진동","3***","8m미만","40.65","전세","202408","31","12,000","0","1990","제일로137번길","202410~202610","신규","-","","","단독다가구"
"148","경기도 용인시 기흥구 동백동","3**","8m미만","16.50","월세","202408","31","500","40","2012","동백죽전대로556번길","202409~202609","신규","-","","","단독다가구"
"149","전북특별자치도 전주시 덕진구 우아동3가","7**","8m미만","45.77","월세","202408","31","500","25","1990","우아3길","202409~202609","신규","-","","","단독다가구"
"150","서울특별시 강남구 대치동","9**","8m미만","27.30","월세","202408","31","15,000","4","1997","선릉로64길","202406~202606","갱신","-","15,000","4","단독다가구"
"151","서울특별시 강남구 대치동","9**","12m미만","26.40","월세","202408","31","1,000","61","1994","역삼로64길","202409~202509","신규","-","","","단독다가구"
"152","경기도 성남시 수정구 수진동","3***","8m미만","131.04","전세","202408","31","12,000","0","","수정로88번길","202409~202609","갱신","-","10,000","0","단독다가구"
"153","경기도 성남시 수정구 수진동","1***","8m미만","109.02","월세","202408","31","700","55","1993","제일로124번길","202408~202608","신규","-","","","단독다가구"
"154","서울특별시 성북구 동선동2가","2**","8m미만","36.32","월세","202408","31","5,000","75","2016","보문로32길","202409~202609","신규","-","","","단독다가구"
"155","서울특별시 은평구 역촌동","6*","8m미만","50.00","전세","202408","31","13,650","0","","연서로3나길","202409~202608","갱신","-","13,000","0","단독다가구"
"156","경기도 성남시 분당구 대장동","6**","-","56.00","월세","202408","31","5,000","100","2021","판교대장로7길","202410~202610","신규","-","","","단독다가구"
"157","충청남도 천안시 동남구 병천면 가전리","2**","8m미만","22.00","월세","202408","31","50","33","2015","가전6길","202408~202502","신규","-","","","단독다가구"
"158","충청남도 천안시 동남구 병천면 가전리","2**","8m미만","22.00","월세","202408","31","50","35","","가전6길","202408~202412","신규","-","","","단독다가구"
"159","경기도 용인시 기흥구 동백동","6**","12m미만","99.00","월세","202408","31","500","40","2012","평촌2로2번길","202410~202610","갱신","-","500","40","단독다가구"
"160","경기도 용인시 기흥구 동백동","3**","8m미만","55.00","전세","202408","31","10,000","0","2013","동백죽전대로556번길","-","-","-","","","단독다가구"
"161","서울특별시 강북구 우이동","7*","8m미만","20.27","전세","202408","31","15,000","0","2022","삼양로141길","202411~202611","신규","-","","","단독다가구"
"162","서울특별시 강남구 도곡동","9**","8m미만","41.00","월세","202408","31","5,000","90","1996","강남대로54길","202409~202609","신규","-","","","단독다가구"
"163","충청남도 천안시 동남구 풍세면 보성리","5**","8m미만","25.00","월세","202408","31","300","30","2018","풍세산단로","202409~202509","신규","-","","","단독다가구"
"164","충청남도 천안시 동남구 신방동","1***","12m미만","42.90","전세","202408","31","5,000","0","2012","통정8로","-","-","-","","","단독다가구"
"165","서울특별시 서대문구 북아현동","1**","8m미만","46.90","월세","202408","31","1,000","67","1992","북아현로","202408~202608","갱신","-","1,000","50","단독다가구"
"166","전북특별자치도 전주시 덕진구 여의동2가","5**","8m미만","40.00","월세","202408","31","500","50","","덕용1길","202409~202503","신규","-","","","단독다가구"
"167","충청북도 청주시 상당구 영운동","1**","8m미만","25.00","월세","202408","31","300","38","2020","영운로","202409~202508","신규","-","","","단독다가구"
"168","충청남도 천안시 동남구 신방동","1***","12m미만","42.90","전세","202408","31","5,000","0","2012","통정8로","-","-","-","","","단독다가구"
"169","충청남도 천안시 동남구 신방동","1***","12m미만","18.00","월세","202408","31","300","32","2013","통정6로","202408~202508","신규","-","","","단독다가구"
"170","광주광역시 남구 진월동","5**","12m미만","144.50","월세","202408","31","100","30","2010","서문대로627번안길","202408~202411","신규","-","","","단독다가구"
"171","서울특별시 용산구 청파동1가","*","8m미만","100.55","전세","202408","31","31,000","0","1960","청파로71길","202409~202609","갱신","사용","30,000","0","단독다가구"
"172","서울특별시 용산구 청파동1가","9*","8m미만","25.00","월세","202408","31","1,000","45","1970","청파로71길","202408~202608","신규","-","","","단독다가구"
"173","서울특별시 은평구 대조동","4*","8m미만","56.00","월세","202408","31","4,000","100","2019","서오릉로10길","202410~202610","신규","-","","","단독다가구"
"174","서울특별시 은평구 대조동","1**","8m미만","16.00","월세","202408","31","1,000","40","2010","연서로26길","-","-","-","","","단독다가구"
"175","서울특별시 광진구 중곡동","1**","12m미만","46.30","월세","202408","31","5,000","75","2012","영화사로7길","-","-","-","","","단독다가구"
