"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","경기도 용인시 기흥구 상하동","675","0675","0000","지석마을그대가크레던스","전세","113.3480","202408","31","40,000","0","19","2010","어정로 62-28","202410~202610","신규","-","","","아파트"
"12","서울특별시 강남구 삼성동","11","0011","0000","롯데캐슬프레미어","월세","121.9310","202408","31","165,000","20","8","2007","선릉로126길 22","202409~202609","갱신","사용","165,000","60","아파트"
"13","경기도 수원시 장안구 파장동","212-5","0212","0005","삼익","월세","106.8400","202408","31","5,000","55","1","1978","경수대로 1102","202409~202609","신규","-","","","아파트"
"14","경기도 수원시 장안구 파장동","212-5","0212","0005","삼익","월세","106.8400","202408","31","5,000","55","1","1978","경수대로 1102","202409~202609","신규","-","","","아파트"
"15","경기도 수원시 장안구 파장동","212-5","0212","0005","삼익","월세","106.8400","202408","31","5,000","55","1","1978","경수대로 1102","202409~202609","신규","-","","","아파트"
"16","경기도 수원시 장안구 파장동","572-2","0572","0002","SC제일","전세","78.8544","202408","31","24,000","0","10","2017","파장로100번길 10","202502~202702","신규","-","","","아파트"
"17","세종특별자치시  아름동","1279","1279","0000","푸르지오(8단지)","전세","84.9238","202408","31","25,000","0","18","2013","달빛로 165","202411~202611","신규","-","","","아파트"
"18","충청북도 청주시 청원구 오창읍 양청리","810-2","0810","0002","오창롯데캐슬더하이스트","월세","59.9502","202408","31","2,000","100","17","2018","중부로 760","202409~202509","신규","-","","","아파트"
"19","세종특별자치시  아름동","1279","1279","0000","푸르지오(8단지)","전세","84.9238","202408","31","25,000","0","18","2013","달빛로 165","202411~202611","신규","-","","","아파트"
"20","서울특별시 강남구 삼성동","11","0011","0000","롯데캐슬프레미어","전세","144.1130","202408","31","200,000","0","8","2007","선릉로126길 22","202411~202611","신규","-","","","아파트"
"21","충청북도 청주시 청원구 오창읍 각리","636-2","0636","0002","한신더휴센트럴파크","전세","84.9823","202408","31","37,000","0","17","2018","오창공원로 96","202410~202610","신규","-","","","아파트"
"22","서울특별시 강남구 삼성동","11","0011","0000","롯데캐슬프레미어","전세","84.4650","202408","31","120,000","0","4","2007","선릉로126길 22","202411~202611","신규","-","","","아파트"
"23","전북특별자치도 전주시 완산구 효자동1가","902","0902","0000","힐스테이트어울림효자","전세","78.9816","202408","31","37,000","0","14","2022","용머리로 135","202410~202610","신규","-","","","아파트"
"24","경기도 성남시 중원구 중앙동","3006","3006","0000","신흥역하늘채랜더스원2단지","전세","59.8800","202408","31","50,000","0","15","2022","광명로 204","202410~202610","신규","-","","","아파트"
"25","경기도 성남시 중원구 중앙동","3006","3006","0000","신흥역하늘채랜더스원2단지","전세","59.8800","202408","31","42,000","0","19","2022","광명로 204","202411~202611","신규","-","","","아파트"
"26","경기도 성남시 분당구 구미동","66","0066","0000","까치마을(3단지)(신원)","전세","84.8000","202408","31","90,000","0","13","1995","미금로 177","202411~202611","신규","-","","","아파트"
"27","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","전세","38.0700","202408","31","30,000","0","20","1996","미금일로 21","202411~202611","갱신","-","27,300","0","아파트"
"28","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","월세","38.0700","202408","31","2,000","95","17","1996","미금일로 21","202410~202610","신규","-","","","아파트"
"29","경기도 수원시 권선구 곡반정동","654","0654","0000","수원하늘채더퍼스트2단지","전세","84.9400","202408","31","43,000","0","8","2022","망포로 14","202411~202611","신규","-","","","아파트"
"30","경기도 수원시 권선구 곡반정동","580","0580","0000","수원권선삼성래미안","전세","119.4003","202408","31","35,000","0","6","2000","곡선로50번길 73","202410~202610","신규","-","","","아파트"
"31","경기도 용인시 기흥구 보정동","878-18","0878","0018","성호샤인힐즈아파트","전세","84.9830","202408","31","31,500","0","3","2005","이현로29번길 72-24","202409~202609","신규","-","","","아파트"
"32","경기도 용인시 기흥구 보정동","1177","1177","0000","연원마을삼성명가타운","월세","84.9850","202408","31","5,000","140","11","2002","용구대로 2460","202410~202610","신규","-","","","아파트"
"33","충청북도 청주시 청원구 오창읍 주성리","556","0556","0000","오창대성베르힐","전세","72.8994","202408","31","20,000","0","4","2015","2산단로 160","202410~202610","갱신","-","18,000","0","아파트"
"34","충청북도 청주시 청원구 오창읍 주성리","556","0556","0000","오창대성베르힐","전세","72.8994","202408","31","20,000","0","4","2015","2산단로 160","202410~202610","갱신","-","18,000","0","아파트"
"35","경기도 수원시 권선구 곡반정동","580","0580","0000","수원권선삼성래미안","전세","119.4003","202408","31","35,000","0","6","2000","곡선로50번길 73","202410~202610","신규","-","","","아파트"
"36","경기도 수원시 권선구 곡반정동","580","0580","0000","수원권선삼성래미안","전세","119.4003","202408","31","35,000","0","6","2000","곡선로50번길 73","202410~202610","신규","-","","","아파트"
"37","경기도 고양시 덕양구 원흥동","635","0635","0000","삼송2차원흥역동원로얄듀크비스타","전세","84.9867","202408","31","56,500","0","22","2020","권율대로 690","202410~202702","신규","-","","","아파트"
"38","충청남도 천안시 서북구 직산읍 삼은리","70","0070","0000","직산한도","월세","69.7175","202408","31","1,000","55","11","1993","직산로 24","202409~202609","신규","-","","","아파트"
"39","경기도 고양시 덕양구 원흥동","670","0670","0000","삼송리슈빌센트럴파크","전세","84.9993","202408","31","51,000","0","9","2012","동세로 125","202409~202609","갱신","사용","55,000","0","아파트"
"40","서울특별시 강남구 삼성동","104","0104","0000","삼성풍림2차아파트","전세","93.7800","202408","31","100,000","0","10","1998","봉은사로105길 12-7","202410~202610","갱신","-","110,000","0","아파트"
"41","경기도 수원시 권선구 세류동","1280","1280","0000","수원역센트럴어반시티아파트(수원센트럴타운3단지)","전세","84.9800","202408","31","35,000","0","8","2015","세권로 1","202411~202611","신규","-","","","아파트"
"42","세종특별자치시  고운동","1728","1728","0000","가락마을6단지(중흥S클래스프라디움)","전세","59.6866","202408","31","18,500","0","11","2015","마음로 14","202410~202610","신규","-","","","아파트"
"43","세종특별자치시  고운동","1409","1409","0000","가락마을11단지(중흥에듀카운티)","월세","59.9907","202408","31","2,000","70","10","2016","마음로 152","202409~202609","신규","-","","","아파트"
"44","세종특별자치시  고운동","2112","2112","0000","가락마을18단지","월세","100.8986","202408","31","5,000","100","9","2018","마음안1로 139","202410~202610","신규","-","","","아파트"
"45","충청남도 천안시 서북구 직산읍 수헐리","16-1","0016","0001","직산부영","월세","59.7600","202408","31","1,000","50","3","1998","천안대로 1718","202409~202609","신규","-","","","아파트"
"46","경기도 수원시 권선구 호매실동","1371","1371","0000","호매실마을13단지","전세","59.9300","202408","31","32,000","0","8","2015","호매실로218번길 111","202411~202611","신규","-","","","아파트"
"47","경기도 수원시 권선구 오목천동","951","0951","0000","오목천동대우푸르지오1단지","전세","59.9832","202408","31","24,000","0","1","2006","서수원로 219","202411~202611","신규","-","","","아파트"
"48","충청남도 천안시 서북구 성정동","1435","1435","0000","프라지움11차아파트","월세","57.8767","202408","31","1,000","83","15","2019","동서대로 165","202409~202508","신규","-","","","아파트"
"49","충청남도 천안시 서북구 성정동","1562","1562","0000","천안역우방아이유쉘","전세","84.9975","202408","31","23,000","0","18","2018","천안천6길 33","202412~202612","신규","-","","","아파트"
"50","충청남도 천안시 서북구 성정동","1292","1292","0000","에프엠21","월세","20.9491","202408","31","200","38","4","2014","쌍용대로 348","202409~202509","신규","-","","","아파트"
"51","경기도 고양시 덕양구 향동동","405","0405","0000","DMC두산위브더퍼스트","전세","59.9400","202408","31","30,000","0","19","2020","향기5로 66","202411~202506","신규","-","","","아파트"
"52","충청북도 청주시 청원구 내덕동","748-2","0748","0002","보성2","전세","67.8200","202408","31","8,000","0","4","1986","무심동로660번길 23","202410~202610","신규","-","","","아파트"
"53","충청북도 청주시 청원구 내덕동","857","0857","0000","청주힐즈파크푸르지오","전세","84.9830","202408","31","37,000","0","9","2020","1순환로 123","202410~202610","신규","-","","","아파트"
"54","경기도 고양시 덕양구 향동동","405","0405","0000","DMC두산위브더퍼스트","월세","59.9200","202408","31","10,000","130","14","2020","향기5로 66","202410~202610","신규","-","","","아파트"
"55","경기도 고양시 덕양구 향동동","405","0405","0000","DMC두산위브더퍼스트","전세","59.9500","202408","31","37,000","0","12","2020","향기5로 66","202410~202610","신규","-","","","아파트"
"56","경기도 고양시 덕양구 향동동","405","0405","0000","DMC두산위브더퍼스트","전세","59.9400","202408","31","30,000","0","19","2020","향기5로 66","-","-","-","","","아파트"
"57","충청남도 천안시 서북구 성거읍 저리","26-7","0026","0007","아느칸빌","월세","39.0600","202408","31","300","40","2","2004","성거길 181-1","202409~202509","신규","-","","","아파트"
"58","경기도 용인시 처인구 남사읍 완장리","952","0952","0000","e편한세상용인한숲시티4단지","전세","84.2330","202408","31","24,000","0","19","2018","한숲로 124","202409~202609","갱신","-","29,400","0","아파트"
"59","경기도 수원시 영통구 영통동","972-2","0972","0002","벽적골주공휴먼시아8단지","전세","49.5900","202408","31","26,000","0","15","1997","영통로290번길 26","202410~202610","신규","-","","","아파트"
"60","경기도 수원시 영통구 영통동","972-2","0972","0002","벽적골주공휴먼시아8단지","전세","49.5900","202408","31","26,000","0","7","1997","영통로290번길 26","202411~202611","신규","-","","","아파트"
"61","경기도 용인시 처인구 남사읍 완장리","949","0949","0000","e편한세상용인한숲시티3단지","월세","84.2330","202408","31","3,000","100","7","2018","한숲로 123","202410~202610","신규","-","","","아파트"
"62","경기도 용인시 처인구 남사읍 완장리","949","0949","0000","e편한세상용인한숲시티3단지","월세","84.2330","202408","31","3,000","100","7","2018","한숲로 123","202410~202610","신규","-","","","아파트"
"63","경기도 용인시 처인구 남사읍 완장리","949","0949","0000","e편한세상용인한숲시티3단지","월세","84.2330","202408","31","3,000","100","7","2018","한숲로 123","202410~202610","신규","-","","","아파트"
"64","경기도 용인시 처인구 남사읍 완장리","949","0949","0000","e편한세상용인한숲시티3단지","월세","84.6580","202408","31","3,000","100","22","2018","한숲로 123","202410~202610","신규","-","","","아파트"
"65","경기도 용인시 처인구 남사읍 완장리","945","0945","0000","e편한세상용인한숲시티2단지","월세","84.6580","202408","31","3,000","110","19","2018","한숲로 137","202409~202609","갱신","-","2,000","84","아파트"
"66","경기도 수원시 영통구 영통동","972-2","0972","0002","벽적골주공휴먼시아8단지","전세","49.5900","202408","31","26,000","0","15","1997","영통로290번길 26","202410~202610","신규","-","","","아파트"
"67","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골한신","월세","59.8400","202408","31","3,000","110","3","1997","영통로 232","202409~202609","갱신","사용","3,000","110","아파트"
"68","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골한신","전세","59.8400","202408","31","32,000","0","14","1997","영통로 232","202411~202611","신규","-","","","아파트"
"69","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골한신","월세","59.8400","202408","31","3,000","100","3","1997","영통로 232","202411~202507","신규","-","","","아파트"
"70","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골한신","전세","59.8400","202408","31","29,000","0","8","1997","영통로 232","202410~202610","신규","-","","","아파트"
"71","경기도 수원시 영통구 영통동","966-2","0966","0002","신나무실건영","전세","99.9600","202408","31","52,000","0","5","2000","매영로 346","202411~202611","신규","-","","","아파트"
"72","경기도 수원시 영통구 영통동","968","0968","0000","신나무실신명","월세","84.9000","202408","31","5,000","140","1","1997","봉영로1517번길 76","202410~202610","신규","-","","","아파트"
"73","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실신안","전세","59.9650","202408","31","28,000","0","11","1997","매영로310번길 12","202410~202610","갱신","-","26,500","0","아파트"
"74","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실신안","전세","59.9650","202408","31","26,000","0","16","1997","매영로310번길 12","202409~202609","갱신","사용","28,000","0","아파트"
"75","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실진흥","전세","59.9650","202408","31","28,000","0","15","1997","매영로310번길 12","202409~202609","갱신","사용","29,000","0","아파트"
"76","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실진흥","전세","59.9650","202408","31","25,000","0","2","1997","매영로310번길 12","202411~202611","신규","-","","","아파트"
"77","경기도 수원시 영통구 영통동","970-3","0970","0003","벽적골9단지주공","월세","59.3900","202408","31","17,000","35","1","1999","봉영로1517번길 27","202411~202704","신규","-","","","아파트"
"78","경기도 수원시 영통구 영통동","970-3","0970","0003","벽적골9단지주공","전세","59.3900","202408","31","24,000","0","2","1999","봉영로1517번길 27","202410~202610","신규","-","","","아파트"
"79","경기도 수원시 영통구 영통동","1048-2","1048","0002","청명마을(주공)","전세","59.9900","202408","31","30,000","0","9","1997","청명북로 81","202410~202610","신규","-","","","아파트"
"80","경기도 수원시 영통구 영통동","989-2","0989","0002","현대","전세","134.7600","202408","31","60,000","0","7","1998","매영로 366","202411~202611","신규","-","","","아파트"
"81","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","월세","59.9400","202408","31","3,000","100","9","1997","영통로 498","202411~202611","신규","-","","","아파트"
"82","경기도 용인시 처인구 남사읍 완장리","954","0954","0000","e편한세상용인한숲시티6단지","월세","59.5340","202408","31","2,000","90","18","2018","한숲로 84","202410~202610","신규","-","","","아파트"
"83","경기도 용인시 처인구 남사읍 완장리","954","0954","0000","e편한세상용인한숲시티6단지","월세","90.7920","202408","31","3,000","100","1","2018","한숲로 84","202409~202609","신규","-","","","아파트"
"84","경기도 용인시 처인구 남사읍 완장리","954","0954","0000","e편한세상용인한숲시티6단지","전세","84.2330","202408","31","23,000","0","9","2018","한숲로 84","202409~202609","갱신","-","31,000","0","아파트"
"85","경기도 용인시 처인구 남사읍 완장리","954","0954","0000","e편한세상용인한숲시티6단지","전세","59.5340","202408","31","18,000","0","16","2018","한숲로 84","202410~202610","신규","-","","","아파트"
"86","충청남도 천안시 동남구 신방동","228-22","0228","0022","현대","월세","49.5900","202408","31","1,000","55","3","1993","풍세로 705","202408~202608","신규","-","","","아파트"
"87","충청남도 천안시 동남구 신방동","2191","2191","0000","신방삼부르네상스","월세","59.9828","202408","31","2,000","85","7","2023","풍세로 678-22","202409~202509","신규","-","","","아파트"
"88","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","월세","39.2700","202408","31","500","45","9","1998","신촌4로 16","202409~202609","신규","-","","","아파트"
"89","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","전세","39.2700","202408","31","7,000","0","8","1998","신촌4로 16","202409~202609","신규","-","","","아파트"
"90","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","월세","39.2700","202408","31","500","45","6","1998","신촌4로 16","202408~202608","신규","-","","","아파트"
"91","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","월세","39.2700","202408","31","300","45","10","1998","신촌4로 16","202409~202608","신규","-","","","아파트"
"92","충청남도 천안시 동남구 신방동","920","0920","0000","초원그린타운","월세","39.2700","202408","31","500","45","6","1998","신촌4로 16","-","-","-","","","아파트"
"93","경기도 성남시 분당구 운중동","918","0918","0000","산운마을13단지(태영)","전세","84.9200","202408","31","76,000","0","18","2010","판교원로82번길 30","202409~202609","갱신","-","76,000","0","아파트"
"94","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","전세","59.9400","202408","31","28,350","0","11","1997","영통로 498","202409~202509","갱신","-","27,000","0","아파트"
"95","경상남도 창원시 의창구 북면 감계리","230-1","0230","0001","창원감계힐스테이트1차","전세","84.9601","202408","31","24,000","0","4","2014","동전로 86","202409~202609","신규","-","","","아파트"
"96","경상남도 창원시 의창구 북면 감계리","227-1","0227","0001","창원감계힐스테이트3차","전세","84.7395","202408","31","23,000","0","5","2014","감계로 259","202410~202610","신규","-","","","아파트"
"97","경상북도 포항시 남구 오천읍 원리","1566","1566","0000","힐스테이트포항","월세","59.9785","202408","31","2,000","70","15","2023","중원로 16","202409~202609","신규","-","","","아파트"
"98","전북특별자치도 전주시 완산구 삼천동1가","772","0772","0000","이안전주삼천","전세","84.9800","202408","31","24,000","0","1","2014","용리로 165","202411~202611","신규","-","","","아파트"
"99","서울특별시 강남구 개포동","187","0187","0000","개포주공5단지","전세","61.1900","202408","31","40,000","0","4","1983","삼성로4길 17","202411~202611","신규","-","","","아파트"
"100","서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","전세","83.7000","202408","31","70,000","0","5","1983","개포로 516","202410~202610","갱신","-","70,000","40","아파트"
"101","서울특별시 강남구 개포동","1284","1284","0000","개포자이프레지던스","월세","84.6000","202408","31","110,000","150","9","2023","삼성로 14","202411~202611","신규","-","","","아파트"
"102","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","전세","84.9000","202408","31","124,000","0","5","2020","개포로 264","202411~202611","신규","-","","","아파트"
"103","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","월세","59.9200","202408","31","60,000","150","14","2020","개포로 264","202410~202610","신규","-","","","아파트"
"104","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","월세","59.9500","202408","31","10,000","120","4","2023","효원로93번길 33","202410~202610","신규","-","","","아파트"
"105","서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","월세","59.9200","202408","31","50,000","180","14","2020","개포로 264","202410~202610","갱신","-","39,000","140","아파트"
"106","경기도 수원시 장안구 조원동","881","0881","0000","한일타운대림","월세","59.8420","202408","31","24,000","5","10","1999","경수대로976번길 22","202410~202610","갱신","-","24,000","0","아파트"
"107","서울특별시 강남구 자곡동","687","0687","0000","래미안포레","월세","84.9900","202408","31","70,000","45","6","2014","밤고개로21길 25","202410~202610","갱신","-","63,000","60","아파트"
"108","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","전세","59.9600","202408","31","70,000","0","8","2014","자곡로 175","-","-","-","","","아파트"
"109","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","전세","59.9600","202408","31","70,000","0","8","2014","자곡로 175","202409~202608","갱신","사용","73,000","0","아파트"
"110","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","월세","59.9600","202408","31","15,000","180","14","2014","자곡로 175","202409~202609","신규","-","","","아파트"
"111","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","월세","74.8000","202408","31","50,000","20","3","2015","자곡로3길 21","-","-","-","","","아파트"
"112","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","전세","59.9300","202408","31","23,135","0","6","2015","자곡로3길 21","202409~202608","신규","-","","","아파트"
"113","서울특별시 강남구 자곡동","619","0619","0000","강남자곡 힐스테이트","월세","74.8000","202408","31","50,000","20","3","2015","자곡로3길 21","202409~202410","신규","-","","","아파트"
"114","경상남도 창원시 의창구 북면 감계리","232-1","0232","0001","감계아내에코프리미엄2차","월세","59.8956","202408","31","20,000","5","16","2019","감계로 342","202410~202610","신규","-","","","아파트"
"115","충청남도 천안시 동남구 목천읍 삼성리","9-12","0009","0012","원앙마을부영1차","월세","59.7600","202408","31","1,000","50","5","1999","삼성5길 42","202410~202610","신규","-","","","아파트"
"116","경기도 수원시 장안구 조원동","510","0510","0000","벽산","전세","54.9000","202408","31","17,000","0","6","1989","조원로 16","202409~202609","신규","-","","","아파트"
"117","경기도 수원시 영통구 영통동","955-1","0955","0001","황골마을주공1","전세","59.9900","202408","31","24,000","0","5","1997","영통로 498","202411~202611","갱신","사용","23,000","0","아파트"
"118","경기도 수원시 영통구 영통동","948-4","0948","0004","영통센트럴파크뷰","월세","59.9900","202408","31","3,000","100","8","1999","영통로514번길 53","202409~202609","신규","-","","","아파트"
"119","경기도 수원시 영통구 영통동","1054-3","1054","0003","황골마을한국","전세","59.9900","202408","31","28,000","0","12","1998","봉영로1770번길 21","202409~202609","갱신","-","28,000","0","아파트"
"120","경기도 수원시 영통구 영통동","1093","1093","0000","영통3풍림아이원","전세","84.8770","202408","31","37,500","0","2","2002","봉영로1482번길 18","202411~202611","신규","-","","","아파트"
"121","경기도 수원시 영통구 영통동","1093","1093","0000","영통3풍림아이원","전세","84.8770","202408","31","37,500","0","2","2002","봉영로1482번길 18","202410~202610","신규","-","","","아파트"
"122","경기도 수원시 영통구 영통동","1093","1093","0000","영통3풍림아이원","전세","84.8770","202408","31","37,500","0","2","2002","봉영로1482번길 18","202411~202611","신규","-","","","아파트"
"123","경기도 수원시 장안구 조원동","881","0881","0000","한일타운쌍용","월세","59.8420","202408","31","4,000","90","13","1999","경수대로976번길 22","202410~202610","신규","-","","","아파트"
"124","경상남도 창원시 마산합포구 교방동","525","0525","0000","창원롯데캐슬프리미어","월세","84.9485","202408","31","9,000","70","4","2020","노산서18길 80","202410~202610","신규","-","","","아파트"
"125","충청남도 천안시 서북구 성성동","969","0969","0000","천안레이크타운3차푸르지오","월세","59.9903","202408","31","3,000","100","2","2020","성성6로 68","202409~202609","신규","-","","","아파트"
"126","충청남도 천안시 서북구 성성동","734","0734","0000","천안성성비스타동원","전세","84.9617","202408","31","30,000","0","16","2024","성성6로 129","202410~202610","신규","-","","","아파트"
"127","충청남도 천안시 서북구 성성동","734","0734","0000","천안성성비스타동원","전세","84.9617","202408","31","35,000","0","21","2024","성성6로 129","202410~202610","신규","-","","","아파트"
"128","경기도 성남시 분당구 삼평동","718","0718","0000","봇들마을4단지(주공)","월세","74.4500","202408","31","5,000","260","3","2009","동판교로 226","202411~202611","갱신","-","5,000","210","아파트"
"129","충청남도 천안시 동남구 신부동","541","0541","0000","동아태조","월세","59.9700","202408","31","1,000","63","2","1995","터미널9길 13","202409~202609","신규","-","","","아파트"
"130","충청남도 천안시 동남구 신부동","986","0986","0000","신부 디 이스트","월세","72.7000","202408","31","2,000","90","4","2018","신원2길 61","202409~202609","신규","-","","","아파트"
"131","충청남도 천안시 동남구 신부동","986","0986","0000","신부 디 이스트","월세","72.7000","202408","31","2,000","100","2","2018","신부8길 21","202410~202610","신규","-","","","아파트"
"132","충청남도 천안시 동남구 신부동","986","0986","0000","신부 디 이스트","월세","72.7000","202408","31","2,000","100","2","2018","신부8길 21","202410~202610","신규","-","","","아파트"
"133","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","전세","74.9600","202408","31","42,000","0","15","2023","효원로93번길 33","202409~202609","갱신","사용","42,000","0","아파트"
"134","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","전세","49.9200","202408","31","28,350","0","5","2023","효원로93번길 33","202410~202610","갱신","사용","27,000","0","아파트"
"135","충청북도 청주시 서원구 남이면 가마리","378","0378","0000","청주가마힐데스하임","전세","84.9476","202408","31","29,000","0","22","2016","2순환로 1717","202410~202610","신규","-","","","아파트"
"136","충청북도 청주시 상당구 방서동","806","0806","0000","우미린풀하우스","전세","69.8386","202408","31","30,000","0","6","2020","동남로 15","-","-","-","","","아파트"
"137","충청북도 청주시 상당구 방서동","653","0653","0000","중흥에스-클래스더퍼스트","전세","84.9970","202408","31","33,000","0","22","2018","단재로 312","202409~202609","신규","-","","","아파트"
"138","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","월세","59.8800","202408","31","3,000","145","12","2023","효원로93번길 34","202409~202609","신규","-","","","아파트"
"139","경상남도 창원시 진해구 석동","90-1","0090","0001","석동주공","월세","47.3100","202408","31","700","30","1","1991","냉천로 52","202408~202608","갱신","-","700","25","아파트"
"140","울산광역시 남구 야음동","594-10","0594","0010","신정현대홈타운2","전세","59.9700","202408","31","23,700","0","5","1999","대암로 82","202410~202610","신규","-","","","아파트"
"141","울산광역시 남구 야음동","594-37","0594","0037","신정현대홈타운1","전세","81.8700","202408","31","30,000","0","20","1999","대암로 81","202412~202612","신규","-","","","아파트"
"142","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","전세","74.9400","202408","31","40,950","0","12","2023","인계로 20","202409~202609","갱신","사용","39,000","0","아파트"
