"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"34","부산광역시 강서구 명지동","3234","3234","0000","명지두산위브포세이돈","84.9807","202408","31","30,600","101","4","개인","개인","2013","명지오션시티11로 22","-","중개거래","부산 강서구","24.10.28"
"35","서울특별시 양천구 신월동","1027","1027","0000","양천벽산블루밍2단지","59.9900","202408","31","56,000","202","6","개인","개인","2006","월정로9길 20","-","중개거래","서울 양천구","24.10.31"
"36","서울특별시 양천구 신월동","1055","1055","0000","신정두산위브","84.2200","202408","31","94,000","104","6","개인","개인","2012","신월로20길 7","-","중개거래","서울 양천구","24.11.28"
"37","서울특별시 양천구 신월동","1063","1063","0000","롯데캐슬","84.9660","202408","31","99,000","101","12","개인","개인","2014","중앙로29길 61","-","중개거래","서울 양천구","24.11.28"
"38","서울특별시 양천구 신월동","1063","1063","0000","롯데캐슬","84.9840","202408","31","100,000","109","16","개인","개인","2014","중앙로29길 61","-","중개거래","서울 양천구","24.12.27"
"39","서울특별시 중구 신당동","844","0844","0000","남산타운","59.9400","202408","31","108,000","3","4","개인","개인","2002","다산로 32","-","중개거래","서울 중구","24.11.18"
"40","부산광역시 연제구 거제동","1506","1506","0000","아시아드푸르지오","84.9579","202408","31","56,000","106","8","개인","개인","2010","아시아드대로22번길 36","-","중개거래","부산 동래구, 부산 연제구","24.11.01"
"41","부산광역시 연제구 거제동","1519","1519","0000","거제센트럴자이","84.9542","202408","31","66,800","107","5","개인","개인","2018","법원북로 93","-","중개거래","부산 연제구","24.12.20"
"42","부산광역시 연제구 거제동","1272","1272","0000","거제아시아드삼정그린코아","84.8673","202408","31","36,000","101","15","개인","개인","2001","월드컵대로 325","-","중개거래","부산 연제구","24.11.01"
"43","부산광역시 연제구 거제동","1479","1479","0000","거제2차현대홈타운","84.7170","202408","31","65,700","203","22","개인","개인","2002","법원북로 16","-","중개거래","부산 연제구","24.11.29"
"44","서울특별시 양천구 신월동","1076","1076","0000","목동센트럴아이파크위브2단지","59.6800","202408","31","99,500","201","5","개인","개인","2020","남부순환로83길 18","-","중개거래","서울 양천구","24.11.20"
"45","서울특별시 서대문구 남가좌동","377","0377","0000","DMC래미안클라시스","59.9300","202408","31","80,000","111","11","개인","개인","2000","증가로 191","-","중개거래","서울 서대문구","24.11.19"
"46","서울특별시 서대문구 남가좌동","390","0390","0000","래미안루센티아","84.8300","202408","31","135,000","103","5","개인","개인","2020","거북골로 100","-","중개거래","서울 서대문구, 서울 은평구","24.11.29"
"47","서울특별시 서대문구 남가좌동","389","0389","0000","DMC에코자이","72.9690","202408","31","120,000","106","7","개인","개인","2019","거북골로 84","-","중개거래","서울 서대문구","24.11.15"
"48","부산광역시 부산진구 개금동","878","0878","0000","이진젠시티개금","73.8427","202408","31","55,000","102동","20","개인","개인","2023","가야대로 497","-","중개거래","부산 부산진구","25.03.20"
"49","서울특별시 서대문구 남가좌동","385","0385","0000","DMC파크뷰자이1단지","121.6140","202408","31","162,500","124","4","개인","개인","2015","가재울미래로 2","-","중개거래","경기 고양시 덕양구, 서울 서대문구","24.12.05"
"50","서울특별시 서대문구 남가좌동","379","0379","0000","래미안남가좌2차","59.7880","202408","31","95,700","102","5","개인","개인","2005","수색로6길 43","-","중개거래","서울 서대문구","24.12.13"
"51","대구광역시 동구 신암동","1833","1833","0000","이안동대구","84.9221","202408","31","43,900","112","4","개인","개인","2018","송라로28길 14","-","중개거래","대구 동구","25.01.24"
"52","대구광역시 동구 신암동","1833","1833","0000","이안동대구","84.9221","202408","31","46,400","-","17","개인","개인","2018","송라로28길 14","20241121","중개거래","대구 동구","-"
"53","대구광역시 동구 신암동","1833","1833","0000","이안동대구","84.9221","202408","31","46,400","112","17","개인","개인","2018","송라로28길 14","-","중개거래","대구 동구","24.11.29"
"54","서울특별시 서대문구 남가좌동","379","0379","0000","래미안남가좌2차","59.7880","202408","31","89,700","106","2","개인","개인","2005","수색로6길 43","-","중개거래","서울 서대문구","24.12.06"
"55","서울특별시 양천구 신월동","987-1","0987","0001","신월시영","50.6700","202408","31","56,500","7","9","개인","개인","1988","신월로 99","-","중개거래","서울 양천구","24.11.29"
"56","서울특별시 용산구 동자동","45","0045","0000","센트레빌아스테리움서울","149.0500","202408","31","194,000","-","20","개인","개인","2013","한강대로 372","20240919","중개거래","서울 용산구","-"
"57","서울특별시 중구 신당동","844","0844","0000","남산타운","59.9400","202408","31","107,500","3","10","개인","개인","2002","다산로 32","-","중개거래","서울 중구","24.12.12"
"58","서울특별시 중구 신당동","844","0844","0000","남산타운","114.8800","202408","31","163,000","12","14","개인","개인","2002","다산로 32","-","중개거래","서울 중구","24.11.29"
"59","부산광역시 부산진구 초읍동","676","0676","0000","포레나부산초읍","39.1654","202408","31","24,300","111","15","개인","법인","2020","초연로 6","-","직거래","-","24.11.22"
"60","서울특별시 강서구 염창동","244-2","0244","0002","삼성한마음","59.9400","202408","31","75,500","105","10","개인","개인","1995","양천로 637","-","중개거래","서울 강서구","24.12.06"
"61","서울특별시 강서구 염창동","309","0309","0000","e편한세상염창","55.0323","202408","31","86,000","101동","10","개인","개인","2019","공항대로 583","-","중개거래","서울 강서구, 서울 마포구","24.12.10"
"62","서울특별시 서대문구 북가좌동","449","0449","0000","북가좌삼호","84.5700","202408","31","80,000","101","8","개인","개인","1996","거북골로 154","-","중개거래","서울 서대문구","24.11.19"
"63","서울특별시 서대문구 북가좌동","481","0481","0000","DMC래미안e편한세상","84.9500","202408","31","128,300","214","7","개인","개인","2012","수색로 100","-","중개거래","서울 서대문구","24.11.21"
"64","서울특별시 용산구 동자동","45","0045","0000","센트레빌아스테리움서울","149.0500","202408","31","194,000","비","20","개인","개인","2013","한강대로 372","-","중개거래","서울 용산구","24.09.27"
"65","부산광역시 부산진구 연지동","406","0406","0000","연지자이2차","59.9074","202408","31","35,700","201","7","개인","개인","2011","초연로 11","-","중개거래","부산 부산진구","24.10.29"
"66","서울특별시 서대문구 홍은동","274-32","0274","0032","서대문노블루체","27.5900","202408","31","26,000","-","6","개인","개인","2018","연희로 265","-","중개거래","서울 서대문구","24.10.10"
"67","서울특별시 강서구 등촌동","662-3","0662","0003","신송타워","59.9700","202408","31","52,000","-","15","개인","개인","1997","화곡로63길 93","-","중개거래","서울 강서구, 서울 마포구","24.11.28"
"68","서울특별시 강서구 등촌동","630-3","0630","0003","우성","84.9600","202408","31","77,750","102","9","개인","개인","1992","화곡로68길 103","-","중개거래","서울 강서구","24.11.18"
"69","서울특별시 강서구 등촌동","688","0688","0000","주공3","58.1400","202408","31","80,300","301","14","개인","개인","1995","강서로56나길 37","-","중개거래","서울 강서구","24.10.18"
"70","서울특별시 서대문구 연희동","740","0740","0000","성원","115.0600","202408","31","110,000","103","19","개인","개인","2001","연희로32길 48","-","중개거래","서울 서대문구","25.02.25"
"71","서울특별시 서대문구 연희동","739","0739","0000","대우푸르지오","59.5840","202408","31","81,000","105","12","개인","개인","2002","연희로 38-20","-","중개거래","서울 서대문구","24.11.15"
"72","서울특별시 서대문구 홍제동","455","0455","0000","현대그린","84.9600","202408","31","64,000","102","3","개인","개인","1996","세무서2길 64","-","중개거래","경기 하남시, 서울 서대문구","24.10.18"
"73","부산광역시 부산진구 범전동","9-151","0009","0151","동원","63.0800","202408","31","62,550","5호","4","개인","개인","1982","양성로 23","-","중개거래","부산 부산진구","24.12.06"
"74","서울특별시 서대문구 홍제동","453","0453","0000","청구1차","84.7800","202408","31","89,500","114","10","개인","개인","1994","통일로 348","-","중개거래","서울 서대문구","24.11.13"
"75","부산광역시 동래구 명장동","617","0617","0000","동래동일스위트","84.8610","202408","31","44,900","101동","14","개인","개인","2018","시실로 119","-","중개거래","부산 동래구","24.12.02"
"76","부산광역시 동래구 명장동","617","0617","0000","동래동일스위트","67.8923","202408","31","32,900","109동","5","개인","개인","2018","시실로 119","-","중개거래","부산 동래구","24.11.15"
"77","부산광역시 동래구 명장동","623","0623","0000","e편한세상동래명장1단지","84.9800","202408","31","54,000","104동","14","개인","개인","2019","명장로 65","-","중개거래","부산 동래구","24.11.08"
"78","서울특별시 서대문구 홍제동","473","0473","0000","홍제센트럴IPARK","84.9644","202408","31","125,000","101","10","개인","개인","2020","통일로 395","-","중개거래","서울 서대문구","24.11.21"
"79","서울특별시 강서구 화곡동","1145","1145","0000","우장산롯데캐슬","117.1900","202408","31","118,000","206","11","개인","개인","2003","공항대로 382","-","중개거래","서울 강서구","24.11.27"
"80","서울특별시 강서구 화곡동","1146","1146","0000","태창네스트힐","82.3500","202408","31","54,000","아파트102","5","개인","개인","2004","초록마을로 121","-","중개거래","서울 강서구","24.10.31"
"81","부산광역시 금정구 구서동","1049","1049","0000","구서동롯데캐슬골드2단지(1049)","59.9600","202408","31","35,300","802","6","개인","개인","2006","금강로 503","-","중개거래","부산 금정구","24.10.11"
"82","서울특별시 강서구 가양동","1490","1490","0000","가양도시개발9-2단지","39.6000","202408","31","54,500","910","11","개인","개인","1993","허준로 234","-","중개거래","서울 강서구","25.01.07"
"83","서울특별시 강서구 가양동","1500","1500","0000","강서한강자이","84.9903","202408","31","126,000","108","10","개인","개인","2013","양천로55길 55","-","중개거래","서울 강서구","24.12.09"
"84","서울특별시 강서구 가양동","1500","1500","0000","강서한강자이","59.9382","202408","31","109,000","110","13","개인","개인","2013","양천로55길 55","-","중개거래","서울 강서구","24.11.08"
"85","서울특별시 서대문구 북아현동","1009","1009","0000","두산","59.9600","202408","31","85,000","101","16","개인","개인","1999","이화여대8길 62","-","중개거래","서울 서대문구","24.11.28"
"86","서울특별시 강서구 마곡동","748","0748","0000","마곡13단지힐스테이트마스터","59.9825","202408","31","119,000","1304동","2","개인","개인","2017","마곡중앙1로 71","-","중개거래","서울 강서구","24.12.09"
"87","서울특별시 강서구 내발산동","657","0657","0000","우장산힐스테이트","84.9800","202408","31","132,700","-","8","개인","개인","2005","강서로 348","20241223","중개거래","서울 강서구","-"
"88","서울특별시 서대문구 영천동","100","0100","0000","독립문삼호","84.7800","202408","31","95,800","108","3","개인","기타","1995","독립문로 10","-","중개거래","서울 서대문구","24.12.27"
"89","부산광역시 동래구 온천동","1412-1","1412","0001","반도보라스카이뷰","84.8813","202408","31","47,000","101","28","개인","개인","2006","아시아드대로 234","-","중개거래","부산 동래구","24.11.28"
"90","부산광역시 동래구 온천동","161-1","0161","0001","SK허브올리브","53.2900","202408","31","18,500","-","16","개인","개인","2006","금강공원로 2","-","중개거래","부산 금정구, 부산 동래구","24.10.21"
"91","부산광역시 동래구 온천동","178-7","0178","0007","벽산아스타","84.8150","202408","31","70,000","103","47","개인","개인","2008","중앙대로1473번길 13","-","중개거래","부산 동래구","24.11.18"
"92","부산광역시 동래구 온천동","178-7","0178","0007","벽산아스타","117.9080","202408","31","60,000","101","20","개인","개인","2008","중앙대로1473번길 13","-","중개거래","부산 동래구","24.11.21"
"93","부산광역시 동래구 온천동","1833","1833","0000","동래삼정그린코아포레스트","84.9150","202408","31","48,900","101동","25","개인","개인","2018","쇠미로 153","-","중개거래","부산 동래구","24.11.07"
"94","부산광역시 동래구 온천동","1850","1850","0000","동래3차SKVIEW","84.8730","202408","31","52,500","103동","16","개인","개인","2021","온천장로65번길 9","-","중개거래","부산 동래구","24.10.21"
"95","부산광역시 동래구 온천동","1853","1853","0000","동래래미안아이파크","84.9856","202408","31","76,100","107","17","개인","개인","2022","금정마을로 147","-","중개거래","부산 동래구","24.10.31"
"96","부산광역시 동래구 온천동","1853","1853","0000","동래래미안아이파크","49.8573","202408","31","45,900","101","11","개인","법인","2022","금정마을로 147","-","직거래","-","24.09.26"
"97","부산광역시 동래구 온천동","1853","1853","0000","동래래미안아이파크","59.9069","202408","31","60,000","201","27","개인","개인","2022","금정마을로 150","-","중개거래","부산 동래구","24.12.03"
"98","부산광역시 동래구 온천동","1600","1600","0000","새온천화신동영","84.6600","202408","31","17,000","105","3","개인","개인","1995","쇠미로129번길 62-12","-","중개거래","부산 동래구","24.11.15"
"99","부산광역시 부산진구 범전동","450","0450","0000","삼한골든뷰센트럴파크","84.9936","202408","31","78,000","102동","19","개인","개인","2019","중앙대로 821","-","중개거래","부산 부산진구","24.10.14"
"100","서울특별시 강서구 방화동","852","0852","0000","마곡중앙하이츠아파트","59.3400","202408","31","57,000","1205","14","개인","개인","1994","양천로6길 28","-","중개거래","서울 강서구","24.12.27"
"101","서울특별시 강서구 방화동","839","0839","0000","방화그린","39.7600","202408","31","42,000","215","3","개인","개인","1993","방화대로48길 40","-","중개거래","서울 강서구","24.10.10"
"102","서울특별시 서대문구 천연동","145","0145","0000","천연뜨란채","30.1700","202408","31","50,500","102","8","개인","개인","2006","독립문로8길 54","-","중개거래","서울 서대문구","24.11.07"
"103","서울특별시 강서구 방화동","546-1","0546","0001","방화3차우림필유","84.5700","202408","31","77,500","101","9","개인","개인","2005","양천로14길 118","-","중개거래","서울 강서구, 서울 양천구","24.12.27"
"104","서울특별시 은평구 진관동","155","0155","0000","은평뉴타운 제각말 푸르지오(5-2단지)","101.8300","202408","31","94,000","-","7","개인","개인","2010","연서로48길 11","20241014","중개거래","서울 은평구","-"
"105","서울특별시 은평구 진관동","155","0155","0000","은평뉴타운 제각말 푸르지오(5-2단지)","101.8300","202408","31","94,000","518","7","개인","개인","2010","연서로48길 11","-","중개거래","서울 은평구","25.02.03"
"106","부산광역시 남구 대연동","1750-11","1750","0011","대동레미안7","49.3700","202408","31","18,000","-","5","개인","개인","2015","수영로208번길 15","-","중개거래","부산 남구","24.09.27"
"107","부산광역시 남구 대연동","376-1","0376","0001","린다비스타","45.6500","202408","31","23,500","-","2","개인","개인","2016","수영로266번길 15-1","-","직거래","-","24.09.24"
"108","부산광역시 남구 대연동","1903","1903","0000","대연SKVIEWHills","74.2987","202408","31","72,500","101동","8","개인","개인","2018","수영로 261","-","중개거래","부산 남구","24.10.25"
"109","부산광역시 남구 대연동","93-3","0093","0003","부산대연동푸르지오","73.1300","202408","31","57,500","104","12","개인","개인","2005","수영로325번길 12","-","중개거래","부산 부산진구","24.12.11"
"110","부산광역시 부산진구 전포동","927","0927","0000","e편한세상시민공원1단지","59.9865","202408","31","57,000","106동","25","개인","개인","2023","진남로 455","-","중개거래","부산 부산진구","24.12.06"
"111","부산광역시 부산진구 전포동","908","0908","0000","서면아이파크1단지","59.7846","202408","31","50,000","122동","7","개인","개인","2021","동성로 50","-","중개거래","부산 부산진구","24.10.28"
"112","부산광역시 부산진구 전포동","908","0908","0000","서면아이파크1단지","59.7846","202408","31","50,400","113동","18","개인","개인","2021","동성로 50","-","중개거래","부산 부산진구","24.09.27"
"113","부산광역시 부산진구 전포동","908","0908","0000","서면아이파크1단지","59.7846","202408","31","53,000","115동","21","개인","개인","2021","동성로 50","-","중개거래","부산 부산진구","25.02.26"
"114","서울특별시 구로구 신도림동","692","0692","0000","디큐브시티","128.4100","202408","31","178,000","아파트","41","개인","개인","2011","경인로 662","-","중개거래","서울 구로구","24.11.01"
"115","서울특별시 구로구 신도림동","290","0290","0000","미성","52.4500","202408","31","61,000","1","2","개인","개인","1989","신도림로11가길 36","-","중개거래","서울 구로구","24.10.17"
"116","서울특별시 은평구 증산동","244","0244","0000","DMC우방","59.9100","202408","31","67,000","102","6","개인","개인","2000","증산로3길 26-1","-","중개거래","서울 은평구","24.10.15"
"117","서울특별시 은평구 신사동","370","0370","0000","은평신사두산위브","84.9580","202408","31","71,800","104동","2","개인","개인","2006","갈현로1길 36","-","중개거래","서울 은평구","25.07.23"
"118","부산광역시 부산진구 개금동","455","0455","0000","엘지신개금(2-1)","84.9900","202408","31","33,000","208","5","개인","개인","1998","백양대로300번길 20","-","중개거래","부산 부산진구, 부산 사상구","24.11.08"
"119","서울특별시 은평구 응암동","769","0769","0000","녹번역e편한세상캐슬","84.9400","202408","31","113,800","106","1","개인","개인","2021","은평로 220","-","중개거래","서울 마포구, 서울 은평구","25.02.27"
"120","서울특별시 은평구 응암동","767","0767","0000","백련산에스케이뷰아이파크","84.9039","202408","31","98,500","104","8","개인","개인","2020","응암로30길 16","-","중개거래","서울 은평구","24.11.29"
"121","서울특별시 은평구 응암동","766","0766","0000","백련산파크자이","49.7590","202408","31","68,000","103","8","개인","개인","2021","백련산로 67","-","중개거래","서울 은평구","24.10.11"
"122","서울특별시 은평구 응암동","766","0766","0000","백련산파크자이","84.6690","202408","31","82,000","109","1","개인","개인","2021","백련산로 67","-","중개거래","서울 은평구","24.11.06"
"123","서울특별시 구로구 구로동","108-2","0108","0002","새솔금호","84.8900","202408","31","61,500","-","12","개인","개인","1996","공원로 35","-","중개거래","서울 구로구","24.10.08"
"124","서울특별시 구로구 구로동","1280","1280","0000","한신휴플러스(1280-0)","50.0300","202408","31","61,800","101","12","개인","개인","2007","디지털로31길 120","-","중개거래","서울 구로구","24.12.27"
"125","부산광역시 부산진구 양정동","370-4","0370","0004","대원플러스빌","84.9875","202408","31","25,000","-","19","개인","개인","2004","동평로 416","-","중개거래","부산 부산진구, 부산 연제구","24.11.20"
"126","부산광역시 동래구 명장동","623","0623","0000","e편한세상동래명장1단지","76.3300","202408","31","52,800","115동","28","개인","개인","2019","명장로 65","-","중개거래","부산 동래구","25.01.17"
"127","부산광역시 부산진구 개금동","523-27","0523","0027","개금동포르투나","74.0806","202408","31","33,700","-","9","개인","개인","2019","복지로 15","-","중개거래","부산 부산진구","24.10.14"
"128","서울특별시 구로구 고척동","336","0336","0000","삼환로즈빌","84.9940","202408","31","84,500","103","8","개인","개인","2004","경인로 343","-","중개거래","서울 구로구","25.01.17"
"129","부산광역시 사하구 다대동","1550","1550","0000","몰운대","49.0800","202408","31","12,300","103","11","개인","개인","1996","다대낙조2길 216","-","중개거래","부산 사하구","24.10.04"
"130","부산광역시 사하구 다대동","1670","1670","0000","다대롯데캐슬블루","84.9600","202408","31","39,800","109","25","개인","개인","2014","다송로 23","-","중개거래","부산 사하구","24.10.14"
"131","부산광역시 사하구 다대동","1624","1624","0000","다대동롯데캐슬몰운대","84.9748","202408","31","23,000","407","8","개인","개인","2007","다대낙조2길 100","-","중개거래","부산 사하구","24.11.15"
"132","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.7700","202408","31","180,000","130","9","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","25.02.12"
"133","부산광역시 부산진구 양정동","370-4","0370","0004","대원플러스빌","84.9875","202408","31","25,000","-","19","개인","개인","2004","동평로 416","-","중개거래","부산 연제구","24.11.20"
"134","서울특별시 양천구 신정동","1307","1307","0000","경남아너스빌","84.7300","202408","31","123,500","1502","6","개인","개인","2004","목동동로10길 16-6","-","중개거래","서울 양천구","25.02.27"
"135","부산광역시 사하구 다대동","1624","1624","0000","다대동롯데캐슬몰운대","84.9902","202408","31","23,900","103","15","개인","개인","2007","다대낙조2길 100","-","중개거래","부산 사하구","24.10.31"
"136","부산광역시 연제구 연산동","2317","2317","0000","센텀리버SKVIEW","84.9972","202408","31","57,000","102","23","개인","개인","2017","좌수영로 225","-","중개거래","부산 연제구","24.11.08"
"137","서울특별시 은평구 구산동","548","0548","0000","은평서해그랑블","44.2463","202408","31","41,800","101","3","개인","개인","2022","서오릉로 253","-","중개거래","서울 은평구","24.11.15"
"138","부산광역시 사하구 다대동","1624","1624","0000","다대동롯데캐슬몰운대","84.9902","202408","31","24,300","205","18","개인","개인","2007","다대낙조2길 100","-","중개거래","부산 사하구","24.10.04"
