"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"13","서울특별시 중랑구 면목동","4*","단독","8m미만","204.38","126.60","202408","31","74,000","개인","개인","1990","용마산로94길","-","중개거래","서울 중랑구"
"14","경상북도 문경시 모전동","1***","다가구","12m미만","727.74","384.90","202408","31","147,000","개인","개인","2023","당교11길","-","중개거래","경북 문경시"
"15","서울특별시 강남구 역삼동","7**","다가구","8m미만","644.12","209.90","202408","31","540,000","법인","개인","2001","","-","중개거래","서울 강남구"
"16","서울특별시 동대문구 이문동","8*","다가구","8m미만","146.92","93.00","202408","31","105,000","개인","개인","1991","휘경로11가길","-","중개거래","서울 동대문구"
"17","서울특별시 광진구 자양동","7*","단독","8m미만","175.93","106.00","202408","31","94,000","개인","개인","1990","능동로3다길","-","중개거래","서울 광진구"
"18","부산광역시 수영구 광안동","1**","다가구","8m미만","198.00","229.30","202408","31","72,500","법인","개인","1986","무학로22번길","20250109","중개거래","부산 수영구"
"19","서울특별시 광진구 구의동","6**","다가구","8m미만","368.30","188.00","202408","31","240,000","개인","개인","2018","자양로23가길","-","중개거래","서울 광진구"
"20","강원특별자치도 춘천시 동내면 거두리","9**","다가구","12m미만","344.36","221.00","202408","31","71,000","개인","개인","2008","거두택지길14번길","-","중개거래","강원 춘천시"
"21","경기도 시흥시 은행동","5**","다가구","12m미만","368.86","207.90","202408","31","80,000","개인","개인","2002","대은로","-","중개거래","경기 시흥시"
"22","대구광역시 중구 삼덕동1가","4*","단독","8m미만","56.37","76.00","202408","31","42,400","법인","법인","1955","달구벌대로","-","직거래","-"
"23","대구광역시 중구 삼덕동1가","4*","단독","8m미만","56.64","66.10","202408","31","37,600","법인","법인","2014","","-","직거래","-"
"24","강원특별자치도 속초시 도문동","2**","단독","8m미만","45.90","253.50","202408","31","18,500","개인","개인","1993","","-","중개거래","강원 속초시"
"25","경기도 성남시 중원구 상대원동","3***","다가구","8m미만","118.82","64.50","202408","31","66,000","개인","개인","1990","","-","중개거래","경기 성남시 중원구"
"26","경상북도 경주시 석장동","7**","다가구","8m미만","359.94","231.00","202408","31","45,000","개인","개인","2007","석장3길","-","직거래","-"
"27","강원특별자치도 강릉시 교동","1**","단독","25m이상","193.29","156.00","202408","31","31,000","개인","개인","1978","율곡로","-","중개거래","강원 강릉시"
"28","경기도 안산시 상록구 일동","6**","다가구","8m미만","533.52","322.80","202408","31","61,000","개인","개인","1992","웃말6길","-","중개거래","경기 안산시 상록구"
"29","부산광역시 영도구 동삼동","2**","다가구","8m미만","158.52","149.00","202408","31","12,800","개인","개인","1990","와치로161번길","-","중개거래","부산 영도구"
"30","경기도 성남시 수정구 태평동","7***","다가구","8m미만","163.31","90.90","202408","31","59,200","개인","개인","1988","남문로102번길","-","중개거래","경기 성남시 수정구"
"31","서울특별시 동대문구 이문동","1**","단독","8m미만","54.35","83.00","202408","31","102,500","개인","개인","1972","외대역동로34길","-","중개거래","서울 동대문구"
"32","경기도 화성시 반송동","1**","다가구","8m미만","278.70","285.20","202408","31","123,000","개인","개인","2017","금반1길","-","중개거래","경기 화성시"
"33","경기도 안양시 만안구 안양동","5**","다가구","8m미만","475.80","144.10","202408","31","98,800","개인","개인","1998","수리산로48번길","-","중개거래","경기 안양시 만안구"
"34","충청남도 천안시 서북구 쌍용동","1***","단독","12m미만","331.00","195.90","202408","31","48,000","개인","개인","2003","쌍용13길","-","중개거래","충남 천안시 서북구"
"35","경기도 이천시 대월면 대대리","5**","단독","12m미만","142.10","947.00","202408","31","28,000","개인","개인","2003","대장로","-","중개거래","경기 이천시"
"36","전북특별자치도 정읍시 영원면 운학리","3**","단독","8m미만","79.32","545.00","202408","31","14,000","개인","개인","2019","태동1길","-","중개거래","전북 전주시 완산구"
"37","충청북도 청주시 서원구 수곡동","9*","단독","8m미만","123.63","164.70","202408","31","29,000","개인","개인","1984","구룡산로337번길","-","직거래","-"
"38","전북특별자치도 전주시 완산구 동서학동","*","단독","8m미만","118.89","307.40","202408","31","20,000","개인","개인","1975","전주천서로","-","직거래","-"
"39","경기도 여주시 천송동","1**","단독","8m미만","84.90","149.00","202408","31","17,750","개인","개인","2018","소지개길","-","중개거래","경기 여주시"
"40","인천광역시 서구 청라동","4*","다가구","25m미만","138.87","175.28","202408","31","92,000","개인","개인","2020","청라한내로173번길","-","중개거래","인천 서구"
"41","인천광역시 강화군 양사면 인화리","5**","단독","8m미만","95.47","387.00","202408","31","24,650","개인","개인","2022","인화로","-","중개거래","인천 강화군"
"42","충청남도 금산군 남이면 구석리","2**","단독","8m미만","77.22","470.00","202408","31","9,600","개인","개인","2017","고답길","-","중개거래","대전 동구, 충남 금산군"
"43","제주특별자치도 제주시 일도이동","1**","다가구","8m미만","160.36","137.10","202408","31","20,600","개인","개인","1992","신산로9길","-","중개거래","제주 제주시"
"44","인천광역시 강화군 불은면 넙성리","2**","단독","8m미만","188.22","300.00","202408","31","27,500","개인","개인","1998","불은남로225번길","-","중개거래","인천 강화군"
"45","경기도 여주시 대신면 천서리","6**","단독","8m미만","93.78","485.00","202408","31","32,960","개인","개인","2019","여양로","-","중개거래","경기 양평군"
"46","충청남도 논산시 강경읍 채산리","4**","단독","8m미만","138.60","879.00","202408","31","15,700","개인","개인","1970","계백로12번길","-","중개거래","충남 논산시"
"47","경기도 용인시 처인구 모현읍 오산리","3**","단독","8m미만","91.33","283.00","202408","31","62,300","개인","개인","2019","오산로","-","중개거래","경기 용인시 처인구"
"48","전북특별자치도 전주시 완산구 중화산동2가","6**","다가구","12m미만","394.75","227.50","202408","31","65,000","개인","개인","2013","메너머3길","-","중개거래","전북 전주시 완산구"
"49","충청남도 아산시 둔포면 운교리","8*","단독","12m미만","263.84","444.00","202408","31","52,000","개인","개인","2021","아산밸리남로","-","중개거래","충남 아산시"
"50","충청북도 청주시 청원구 우암동","3**","다가구","8m미만","360.22","234.70","202408","31","35,500","개인","개인","2003","우암로64번길","-","중개거래","충북 청주시 청원구"
"51","대구광역시 수성구 만촌동","8**","단독","8m미만","150.56","138.10","202408","31","123,000","개인","개인","1984","교학로","-","중개거래","대구 수성구"
"52","서울특별시 구로구 구로동","7**","단독","8m미만","126.47","93.00","202408","31","50,000","개인","개인","1988","구로동로7다길","-","중개거래","서울 구로구"
"53","충청남도 금산군 부리면 현내리","2**","단독","8m미만","40.00","354.00","202408","31","9,400","개인","개인","1950","금고길","-","중개거래","충남 금산군"
"54","경기도 광주시 목동","1**","단독","8m미만","184.02","557.00","202408","31","48,020","개인","개인","2000","진토길","-","중개거래","경기 광주시"
"55","전라남도 순천시 주암면 백록리","2**","단독","8m미만","60.00","759.00","202408","31","5,550","개인","개인","1994","가음길","-","중개거래","전남 순천시"
"56","경기도 화성시 장안면 사곡리","2**","단독","8m미만","49.58","387.00","202408","31","13,700","개인","개인","1977","용토길","-","중개거래","서울 동대문구"
"57","경기도 양평군 용문면 광탄리","8**","단독","8m미만","72.46","380.00","202408","31","21,590","개인","개인","2013","상광길79번길","-","직거래","-"
"58","전라남도 구례군 토지면 내동리","2**","단독","8m미만","65.73","418.00","202408","31","12,000","개인","개인","2018","농평길","-","직거래","-"
"59","충청북도 청주시 상당구 남일면 가산리","6**","단독","8m미만","84.47","298.00","202408","31","6,550","개인","개인","1999","가산음달길","-","직거래","-"
"60","경상북도 안동시 남후면 상아리","4*","단독","8m미만","86.87","564.00","202408","31","8,700","개인","개인","2019","아곡길","-","중개거래","경북 안동시"
"61","경기도 용인시 수지구 고기동","4**","단독","8m미만","200.63","578.00","202408","31","122,000","개인","개인","2014","샘말로","20240925","중개거래","경기 용인시 수지구"
"62","충청북도 청주시 청원구 오창읍 양청리","7**","다가구","12m미만","396.48","322.60","202408","31","51,000","개인","개인","2007","양청택지1길","-","중개거래","충북 청주시 청원구"
"63","충청남도 보령시 동대동","7**","단독","8m미만","33.30","59.30","202408","31","2,750","개인","개인","1991","신평로","-","중개거래","충남 보령시"
"64","광주광역시 남구 월산동","5*","단독","8m미만","70.65","231.00","202408","31","14,700","개인","개인","1979","덕림남6길","-","직거래","-"
"65","충청남도 서천군 문산면 북산리","3**","단독","8m미만","99.48","660.00","202408","31","12,000","개인","개인","1979","북산길178번길","-","직거래","-"
"66","강원특별자치도 강릉시 강동면 상시동리","2**","단독","8m미만","98.55","486.00","202408","31","15,000","개인","개인","1997","시동1길","-","직거래","-"
"67","전북특별자치도 전주시 덕진구 여의동2가","6**","단독","8m미만","158.25","184.00","202408","31","10,000","개인","개인","1980","쪽구름2길","-","중개거래","전북 전주시 덕진구"
"68","경기도 화성시 장안면 사곡리","2**","단독","8m미만","49.58","387.00","202408","31","13,700","개인","개인","1977","용토길","20241004","중개거래","서울 동대문구"
"69","경기도 화성시 남양읍 활초리","3**","다가구","8m미만","124.35","329.00","202408","31","46,401","개인","개인","2017","활초길15번길","-","중개거래","경기 수원시 장안구"
"70","전북특별자치도 전주시 완산구 서신동","9**","단독","12m미만","241.70","226.00","202408","31","41,000","개인","개인","2007","고사평로","-","중개거래","전북 전주시 덕진구"
"71","강원특별자치도 춘천시 남산면 산수리","4**","단독","8m미만","116.43","763.00","202408","31","17,000","개인","개인","2013","홍천강변길","-","직거래","-"
"72","충청남도 태안군 소원면 송현리","3**","단독","8m미만","77.79","583.00","202408","31","17,700","개인","개인","2016","산간이길","-","중개거래","충남 태안군"
"73","제주특별자치도 제주시 일도이동","1***","단독","8m미만","76.32","236.00","202408","31","30,000","개인","개인","2013","신선동길","-","직거래","-"
"74","강원특별자치도 원주시 호저면 옥산리","5**","단독","8m미만","96.38","998.00","202408","31","13,300","개인","개인","1964","호저로","-","중개거래","강원 원주시"
"75","충청남도 논산시 강경읍 채산리","4**","단독","8m미만","138.60","879.00","202408","31","15,700","개인","개인","1970","계백로12번길","20241004","중개거래","충남 논산시"
"76","전북특별자치도 정읍시 연지동","2**","단독","8m미만","84.99","219.60","202408","31","11,800","개인","개인","1982","연지3길","-","중개거래","전북 정읍시"
"77","전라남도 구례군 문척면 금정리","9**","단독","8m미만","109.50","203.00","202408","31","7,500","개인","개인","1999","금평길","-","직거래","-"
"78","전라남도 구례군 문척면 금정리","8**","단독","8m미만","109.50","194.00","202408","31","4,500","개인","개인","1998","금평길","-","직거래","-"
"79","전북특별자치도 익산시 삼기면 용연리","3**","단독","8m미만","47.93","552.00","202408","31","9,900","개인","개인","2011","용연길","-","직거래","-"
"80","경상북도 청도군 청도읍 사촌리","1**","단독","8m미만","84.06","670.00","202408","31","20,900","개인","개인","2009","사촌3길","-","중개거래","경남 김해시"
"81","충청북도 제천시 영천동","1**","단독","12m미만","39.34","175.00","202408","31","8,700","개인","개인","2024","내제로5길","-","중개거래","충북 제천시"
"82","충청남도 홍성군 광천읍 신진리","5**","단독","8m미만","60.36","156.00","202408","31","3,900","개인","개인","1999","홍남로606번길","-","직거래","-"
"83","충청북도 충주시 충인동","3**","단독","12m미만","247.11","141.73","202408","31","22,600","개인","개인","1981","자유시장길","-","직거래","-"
"84","강원특별자치도 영월군 북면 마차리","1***","단독","12m미만","237.93","240.00","202408","31","23,500","개인","개인","1999","마차중앙1길","-","직거래","-"
"85","충청북도 충주시 칠금동","1***","다가구","12m미만","237.33","185.60","202408","31","33,000","개인","개인","2007","칠금중앙1길","-","중개거래","충북 충주시"
"86","경기도 용인시 수지구 고기동","2**","단독","8m미만","82.25","262.00","202408","31","68,500","개인","개인","2016","고기로427번길","-","직거래","-"
"87","경상남도 남해군 남면 홍현리","2**","단독","12m미만","75.19","257.00","202408","31","7,800","개인","개인","1941","남면로","-","직거래","-"
"88","경상남도 통영시 정량동","8**","단독","8m미만","67.71","147.30","202408","31","7,500","개인","개인","1997","망일길","-","중개거래","경남 통영시"
"89","경상북도 영덕군 영덕읍 대부리","*","단독","12m미만","50.04","107.00","202408","31","12,000","개인","개인","1990","영덕대게로","-","중개거래","경북 영덕군"
"90","경상북도 포항시 남구 해도동","6*","단독","8m미만","115.16","132.60","202408","31","4,200","개인","개인","1980","상공로246번길","-","중개거래","경북 포항시 남구, 경북 포항시 북구"
"91","경상남도 고성군 대가면 금산리","1***","단독","8m미만","97.44","478.00","202408","31","22,800","개인","개인","2018","금산3길","-","중개거래","경남 고성군"
"92","충청남도 금산군 금성면 하류리","2**","단독","8m미만","79.60","241.00","202408","31","2,700","개인","개인","1956","서원모정길","-","직거래","-"
"93","경상남도 창원시 마산합포구 장군동2가","1*","단독","8m미만","132.92","195.10","202408","31","16,800","개인","개인","1989","중앙남10길","-","중개거래","경남 창원시 마산합포구"
"94","서울특별시 서대문구 홍은동","*","다가구","8m미만","170.55","119.00","202408","31","50,000","개인","개인","1985","포방터길","-","중개거래","서울 서대문구"
"95","경기도 안성시 삼죽면 율곡리","3**","단독","8m미만","189.37","977.00","202408","31","28,530","개인","개인","2009","밤고개안길","-","중개거래","경기 용인시 기흥구"
"96","서울특별시 중구 신당동","4**","다가구","8m미만","325.43","126.00","202408","31","145,000","개인","개인","1995","청구로19길","-","중개거래","서울 중구"
"97","경기도 하남시 덕풍동","4**","단독","8m미만","148.71","100.00","202408","31","65,000","개인","개인","1991","신평로61번길","-","중개거래","경기 하남시"
"98","경기도 화성시 남양읍 활초리","3**","다가구","8m미만","124.35","329.00","202408","31","46,500","개인","개인","2017","활초길15번길","20241128","중개거래","경기 수원시 장안구"
"99","강원특별자치도 원주시 신림면 용암리","9*","단독","8m미만","71.21","590.00","202408","30","11,000","개인","개인","1964","연봉정길","-","중개거래","강원 원주시, 경기 용인시 처인구"
"100","경기도 용인시 수지구 고기동","4**","단독","8m미만","200.63","578.00","202408","30","122,000","개인","개인","2014","샘말로","-","중개거래","경기 용인시 수지구"
"101","경상남도 진주시 명석면 우수리","6*","다가구","8m미만","366.91","310.00","202408","30","51,500","개인","개인","2016","나불로289번길","-","중개거래","경남 진주시"
"102","경상남도 김해시 봉황동","2*","단독","8m미만","164.71","330.80","202408","30","49,000","개인","개인","1987","가락로15번길","-","중개거래","경남 김해시"
"103","충청북도 제천시 화산동","2**","다가구","12m미만","656.00","455.30","202408","30","124,500","개인","개인","2017","내토로27길","-","중개거래","충북 제천시"
"104","경기도 용인시 처인구 포곡읍 신원리","2**","단독","8m미만","168.30","398.00","202408","30","31,340","개인","개인","1995","선장2로","20241017","중개거래","경기 용인시 처인구"
"105","경상남도 진주시 상봉동","1***","단독","12m미만","185.38","171.50","202408","30","27,000","개인","개인","1987","의병로","-","중개거래","경남 진주시"
"106","전북특별자치도 전주시 덕진구 송천동1가","2**","단독","12m미만","72.65","169.00","202408","30","16,300","개인","개인","1981","솔내1길","-","중개거래","전북 전주시 덕진구"
"107","충청북도 청주시 흥덕구 강내면 석화리","1**","단독","8m미만","185.37","505.80","202408","30","43,000","개인","개인","2014","강내석화1길","20241016","직거래","-"
"108","전북특별자치도 전주시 덕진구 인후동1가","2**","단독","8m미만","82.30","179.00","202408","30","23,500","개인","개인","1980","인후6길","-","중개거래","전북 전주시 덕진구"
"109","강원특별자치도 원주시 신림면 용암리","9*","단독","8m미만","71.21","590.00","202408","30","11,000","개인","개인","1964","연봉정길","20241011","중개거래","강원 원주시, 경기 용인시 처인구"
"110","전북특별자치도 전주시 덕진구 인후동1가","1**","단독","8m미만","73.66","175.00","202408","30","10,000","개인","개인","1976","인후1길","20241014","중개거래","전북 전주시 덕진구"
"111","경기도 파주시 적성면 구읍리","4**","단독","25m미만","140.60","967.00","202408","30","21,360","개인","개인","1999","감악산로","-","직거래","-"
"112","경기도 파주시 적성면 구읍리","4**","단독","8m미만","47.30","281.00","202408","30","5,500","개인","개인","1999","감악산로","-","직거래","-"
"113","경상남도 거제시 연초면 송정리","8**","단독","8m미만","78.96","368.00","202408","30","7,420","개인","개인","1984","송정7길","-","중개거래","경남 거제시"
"114","강원특별자치도 동해시 발한동","5**","단독","25m미만","241.76","232.70","202408","30","39,500","개인","개인","1983","동호로","-","중개거래","강원 동해시"
"115","서울특별시 도봉구 방학동","6**","다가구","8m미만","226.20","132.30","202408","30","92,000","개인","개인","2000","시루봉로","-","중개거래","서울 도봉구, 서울 은평구"
"116","서울특별시 도봉구 방학동","6**","다가구","25m미만","213.40","132.40","202408","30","76,500","개인","개인","1985","시루봉로","-","중개거래","서울 도봉구, 서울 은평구"
"117","서울특별시 영등포구 영등포동6가","9*","다가구","8m미만","458.23","157.00","202408","30","247,000","법인","개인","2018","영신로38길","-","중개거래","서울 영등포구"
"118","전북특별자치도 익산시 마동","3**","단독","8m미만","84.93","237.50","202408","30","15,600","개인","개인","1989","중앙로33길","20241121","중개거래","전북 익산시"
"119","충청북도 제천시 하소동","1**","다가구","8m미만","522.91","303.00","202408","30","107,000","개인","개인","2017","용두대로11길","-","중개거래","충북 제천시"
"120","전라남도 함평군 신광면 가덕리","2**","단독","8m미만","98.75","489.40","202408","30","6,500","개인","개인","2021","동백길","20241118","직거래","-"
"121","전라남도 진도군 지산면 가치리","1**","단독","8m미만","80.02","361.40","202408","30","2,600","개인","개인","1980","상봉암길","-","중개거래","전남 진도군"
"122","충청북도 옥천군 군북면 증약리","3**","단독","8m미만","87.60","1205.00","202408","30","58,000","개인","개인","2020","비야대정로","20250106","중개거래","대전 서구"
"123","전라남도 장흥군 관산읍 지정리","1**","단독","8m미만","96.00","158.00","202408","30","25,000","법인","개인","1998","","-","직거래","-"
"124","충청북도 청주시 서원구 모충동","2**","다가구","12m미만","344.22","200.00","202408","30","56,000","개인","개인","2001","구룡산로337번길","-","중개거래","충북 청주시 서원구"
"125","충청남도 보령시 청라면 음현리","3*","단독","8m미만","77.70","506.00","202408","30","10,000","개인","개인","1991","","-","중개거래","충남 보령시"
"126","전라남도 장흥군 관산읍 지정리","1**","단독","8m미만","96.00","597.00","202408","30","25,000","법인","개인","1998","","20240912","직거래","-"
"127","전라남도 여수시 고소동","1*","단독","8m미만","105.30","76.00","202408","30","10,800","개인","개인","1992","고소7길","-","중개거래","전남 순천시"
"128","제주특별자치도 제주시 해안동","3*","단독","8m미만","128.34","488.00","202408","30","56,400","개인","개인","2016","주르레남길","-","직거래","-"
"129","경상남도 합천군 쌍백면 평구리","4**","단독","8m미만","74.00","526.00","202408","30","7,200","개인","개인","2009","평구4길","20241101","직거래","-"
"130","서울특별시 용산구 보광동","2**","단독","8m미만","167.22","119.00","202408","30","350,000","개인","개인","1989","보광로14길","-","중개거래","서울 용산구"
"131","서울특별시 강동구 고덕동","2**","단독","8m미만","249.99","192.60","202408","30","230,000","법인","개인","1987","아리수로72길","-","중개거래","서울 강동구"
"132","경기도 용인시 처인구 포곡읍 신원리","2**","단독","8m미만","168.30","398.00","202408","30","29,000","개인","개인","1995","선장2로","-","중개거래","경기 용인시 처인구"
"133","경기도 성남시 수정구 태평동","3***","다가구","8m미만","378.00","169.60","202408","30","102,000","개인","개인","1996","남문로102번길","-","중개거래","경기 성남시 수정구"
"134","강원특별자치도 속초시 장사동","6**","단독","8m미만","217.92","92.00","202408","30","25,000","개인","개인","1994","사진4길","-","중개거래","강원 속초시"
"135","서울특별시 용산구 용산동2가","*","단독","8m미만","106.86","77.00","202408","30","75,000","개인","개인","1986","신흥로","-","중개거래","서울 용산구"
"136","경상남도 통영시 서호동","2**","단독","8m미만","125.91","158.00","202408","30","16,400","개인","개인","1983","가죽고랑3길","-","중개거래","경남 통영시"
"137","대전광역시 동구 용전동","1**","단독","8m미만","354.93","192.70","202408","30","63,000","개인","개인","2011","계족로451번길","-","중개거래","대전 동구"
"138","전북특별자치도 완주군 구이면 원기리","7**","단독","8m미만","263.58","617.00","202408","30","73,000","개인","개인","2016","상하학길","-","중개거래","전북 전주시 완산구"
"139","인천광역시 서구 석남동","5**","다가구","8m미만","223.36","155.70","202408","30","21,500","개인","개인","1989","염곡로200번길","-","중개거래","인천 서구"
"140","경기도 포천시 자작동","5**","단독","8m미만","153.68","565.00","202408","30","43,500","개인","개인","2022","자작로3길","-","중개거래","경기 포천시"
"141","부산광역시 부산진구 전포동","3**","단독","12m미만","94.55","76.00","202408","30","75,000","개인","개인","1969","황령대로64번길","-","중개거래","부산 부산진구"
"142","전라남도 여수시 상암동","2***","단독","8m미만","59.00","330.00","202408","30","11,000","법인","개인","1977","상암로","-","직거래","-"
"143","경상남도 통영시 용남면 장평리","1**","단독","12m미만","150.93","327.00","202408","30","24,000","개인","개인","1990","견유1길","-","중개거래","경남 통영시"
"144","충청남도 천안시 서북구 업성동","3**","단독","8m미만","66.00","225.00","202408","30","28,830","개인","개인","1996","업성1길","-","직거래","-"
"145","대구광역시 수성구 만촌동","1***","단독","12m미만","129.25","209.90","202408","30","48,000","개인","개인","1979","동원로6길","-","중개거래","대구 수성구"
"146","대구광역시 남구 봉덕동","7**","다가구","8m미만","546.79","298.80","202408","30","113,000","개인","개인","2017","중앙대로28길","-","중개거래","대구 서구"
"147","서울특별시 성북구 안암동1가","3*","단독","8m미만","39.67","74.70","202408","30","45,000","개인","개인","1980","고려대로7마길","20241028","중개거래","서울 성북구"
"148","경기도 안성시 현수동","1**","단독","8m미만","83.30","501.00","202408","30","35,500","개인","개인","2008","현수1길","20241025","중개거래","경기 안성시"
"149","경기도 양평군 용문면 망능리","9*","단독","8m미만","255.09","834.00","202408","30","36,000","개인","개인","1994","상망길","-","중개거래","경기 양평군"
"150","강원특별자치도 홍천군 홍천읍 하오안리","3**","단독","8m미만","279.90","625.00","202408","30","32,000","개인","개인","1997","높은터로49번길","-","중개거래","강원 홍천군"
"151","강원특별자치도 양구군 양구읍 공수리","8*","단독","8m미만","98.46","520.00","202408","30","11,441","개인","개인","1999","파로호로","-","직거래","-"
"152","충청남도 예산군 봉산면 옥전리","2**","단독","8m미만","95.99","476.00","202408","30","7,500","개인","개인","2003","당곡옥전길","-","직거래","-"
"153","서울특별시 동대문구 이문동","8*","다가구","8m미만","108.36","73.00","202408","30","60,000","개인","개인","1994","외대역동로12가길","-","중개거래","서울 서대문구"
"154","경상북도 성주군 선남면 명포리","3**","단독","8m미만","40.85","271.00","202408","30","5,000","개인","개인","1990","명관로","-","직거래","-"
"155","경상남도 양산시 원동면 선리","1**","다가구","12m미만","220.80","1450.00","202408","30","55,800","개인","개인","2015","배내로","-","직거래","-"
"156","경기도 안성시 일죽면 산북리","5*","단독","12m미만","165.00","650.00","202408","30","21,000","개인","개인","2000","주래본죽로","-","직거래","-"
"157","경상남도 하동군 금성면 갈사리","4**","단독","8m미만","89.37","319.00","202408","30","10,700","개인","개인","1997","내도청도길","-","중개거래","경남 진주시"
"158","경상남도 창원시 의창구 대산면 가술리","3**","단독","8m미만","93.29","555.00","202408","30","17,000","개인","개인","1900","주남로483번길","-","중개거래","경남 창원시 의창구"
"159","경상남도 거제시 연초면 송정리","8**","단독","8m미만","78.96","368.00","202408","30","7,500","개인","개인","1984","송정7길","20241010","중개거래","경남 거제시"
"160","경상북도 칠곡군 북삼읍 율리","2**","단독","8m미만","65.00","330.00","202408","30","11,000","개인","개인","","내율1길","-","직거래","-"
"161","전북특별자치도 남원시 금동","4**","단독","8m미만","156.00","218.00","202408","30","21,492","개인","개인","1986","금하정1길","-","직거래","-"
"162","경기도 여주시 점동면 처리","1**","단독","8m미만","203.10","764.00","202408","30","25,000","개인","개인","1995","처리1길","-","직거래","-"
"163","경상남도 밀양시 내이동","1***","단독","25m미만","98.25","93.50","202408","30","19,000","개인","개인","2016","시청로","-","중개거래","경남 밀양시"
"164","경기도 양평군 옥천면 용천리","1**","단독","-","200.82","438.00","202408","30","58,000","개인","개인","2023","용천로297번길","-","중개거래","경기 광주시"
"165","경상남도 산청군 단성면 청계리","3**","단독","8m미만","139.85","678.00","202408","30","22,500","개인","개인","2004","호암로","-","중개거래","경남 진주시"
